,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,Poste actuel
47,['unckown'],unckown,,,,,,,,,,DevOps engineer
48,['unckown'],unckown,,,,,,,,,,Microsoft Certified Trainer
49,['unckown'],unckown,,,,,,,,,,Cloud and Automation engineer 
50,['Developing an e-learning platform using spring boot and jhipster. the final project was deployed on docker.'],Developing an e-learning platform using spring boot and jhipster. the final project was deployed on docker.,,,,,,,,,,Junior Software Engineer
51,['unckown'],unckown,,,,,,,,,,Cloud Data Engineer GCP
52,['unckown'],unckown,,,,,,,,,,Student
53,"['Load test implementation for new features developed by the dev team before deployment on the production environment', 'Create Jenkins pipeline to automata test execution', 'Analyze load test results to verify if there is a bottleneck that needs improvement in the infrastructure on AWS', 'Create Test Environments on AWS Using Terraform & Packer as IaC (Infrastructure as Code) tool and Ansible as CM (Configuration Management) tool', 'Monitor production environment servers on AWS using CloudWatch service', 'Automatic several manual tasks using Jenkins pipelines', 'Automation and management test and production environment services on AWS']",Load test implementation for new features developed by the dev team before deployment on the production environment,Create Jenkins pipeline to automata test execution,Analyze load test results to verify if there is a bottleneck that needs improvement in the infrastructure on AWS,Create Test Environments on AWS Using Terraform & Packer as IaC (Infrastructure as Code) tool and Ansible as CM (Configuration Management) tool,Monitor production environment servers on AWS using CloudWatch service,Automatic several manual tasks using Jenkins pipelines,Automation and management test and production environment services on AWS,,,,Cloud & DevOps Engineer 
54,['unckown'],unckown,,,,,,,,,,Cloud DevOps Engineer
55,"['In this internship i worked on the infrastructure ‘s automation using ansible and create a website for ticket reservation for cinemas in Tunisia using node.js, react.js and Mongolia']","In this internship i worked on the infrastructure ‘s automation using ansible and create a website for ticket reservation for cinemas in Tunisia using node.js, react.js and Mongolia",,,,,,,,,,DevOps Engineer
56,['unckown'],unckown,,,,,,,,,,SysAdmin DevOps Engineer
57,['unckown'],unckown,,,,,,,,,,DevOps & Cloud Engineer
58,['unckown'],unckown,,,,,,,,,,Cloud & Support Engineer
59,['unckown'],unckown,,,,,,,,,,DevOps Engineer and Cloud Architect
60,['unckown'],unckown,,,,,,,,,,Cloud Operations Engineer
61,['unckown'],unckown,,,,,,,,,,DevOps engineer
62,"['Modernisation of Kubernetes resources - Best Practices', 'Migration to a Highly Available and Secure GKE Cluster', 'Monitoring stack : Prometheus Operator, Prometheus, Alertmanager, Grafana, Thanos...', 'Security stack: Certmanager, Letsencrypt...', 'Networking stack: Pomerium, Kubernetes Gateway API...']",Modernisation of Kubernetes resources - Best Practices,Migration to a Highly Available and Secure GKE Cluster,"Monitoring stack : Prometheus Operator, Prometheus, Alertmanager, Grafana, Thanos...","Security stack: Certmanager, Letsencrypt...","Networking stack: Pomerium, Kubernetes Gateway API...",,,,,,DevOps Engineer
63,"['‐ Administration of SFM IT tools', '‐ Administrator Systems and Networks ', '- Implementation of security architectures (security software installation and manipulation)', '- Cloud manager', '- Penetration tests', '- Vulnerability analysis of web applications', '- Continuous Integration (DevOps)', ""‐ Internal audit of SFM's IS"", '‐ Implementation of the safety of the SFM IS', '‐ Participation in the development of the strategic plan for the digital development of SFM']",‐ Administration of SFM IT tools,‐ Administrator Systems and Networks ,- Implementation of security architectures (security software installation and manipulation),- Cloud manager,- Penetration tests,- Vulnerability analysis of web applications,- Continuous Integration (DevOps),‐ Internal audit of SFM's IS,‐ Implementation of the safety of the SFM IS,‐ Participation in the development of the strategic plan for the digital development of SFM,Cybersecurity and cloud DevSecOps engineer 
64,"['*Contributes to the updating of a private cloud provisioning, management and billing platform.', '*Operation of the various cloud infrastructures as well as maintenance and monitoring of the server machines deployed in production.']","*Contributes to the updating of a private cloud provisioning, management and billing platform.",*Operation of the various cloud infrastructures as well as maintenance and monitoring of the server machines deployed in production.,,,,,,,,,Cloud engineer
65,"['- Installing and upgrading the Oracle Database server and application tools', '', '- Allocating system storage and planning future storage requirements for the database system', '', '- Creating primary database storage structures (tablespaces) after application developers have designed an application', '', '- Creating primary objects (tables, views, indexes) once application developers have designed an application', '', '- Modifying the database structure, as necessary, from information given by application developers', '- using Ground Damage Database (GDDB) to collect information that helps the industry to understand trends and performance and identify risks by their frequency and seriousness.']",- Installing and upgrading the Oracle Database server and application tools,,- Allocating system storage and planning future storage requirements for the database system,,- Creating primary database storage structures (tablespaces) after application developers have designed an application,,"- Creating primary objects (tables, views, indexes) once application developers have designed an application",,"- Modifying the database structure, as necessary, from information given by application developers",- using Ground Damage Database (GDDB) to collect information that helps the industry to understand trends and performance and identify risks by their frequency and seriousness., Aviation Database administrator
66,['Automatic processing of CVs and profiles with Big Data (cv library)'],Automatic processing of CVs and profiles with Big Data (cv library),,,,,,,,,,Data Analyst 
67,"['-Deploy applications using (Docker and HelmChart and Ubuntu)', '-Open pods with kubernets', '- use gitlab to ensure continuous integration', '- use of ArgoCD to ensure continuous delivery']",-Deploy applications using (Docker and HelmChart and Ubuntu),-Open pods with kubernets,- use gitlab to ensure continuous integration,- use of ArgoCD to ensure continuous delivery,,,,,,,Trainee
68,['unckown'],unckown,,,,,,,,,,Cloud Engineer
69,['unckown'],unckown,,,,,,,,,,DevOps Engineer
70,"['Project:', '- Talenteo is a Cloud Native HRIS solution which covers all the management processes of an HRM: recruitments, trainings, missions, editing and sending summaries, co-optations, monitoring and evaluation of consultants. The platform is developed with Angular on the Front-End and Spring Boot on the Back End.', '', 'Goal:', '- Automate CI/CD chains to deploy a Cloud Native HRIS Called solution ""Talenteo"" on a Kubernetes Cluster managed by Microsoft Azure (AKS) using Azure DevOps.', '', 'Tasks:', '* Configure a pipeline to supply an Azure infrastructure using Terraform (Cluster AKS, Blob Storage, Azure Container Registry, Vnet and Subnets).', '* Setting up three namesspaces on AKS (Dev, Int, Prod).', '* Deploy PostgreSQL in Statefulset on AKS using Helm and configure database schemas and users.', '* Dockerize the Back-End micro-services (Spring Boot) with Jib and use a dockerfile to contain the Front-End part (Angular 9).', '* use Helm to make dynamic Kubernetes resources declarations (Ingress, Deployments, Services, Secrets, TLS certificate) by injecting inside the concerned values from a separated files entitled values.yml. Each intended environment such as Dev, Int or Prod has its own values.', '* Implementation automated CI/CD pipelines for each microservice and the Front-End part (from GitLab --> Azure DevOps pipelines Build --> Azure DevOps pipelines Release --> AKS).', '* Ensure own cost management on Azure (Kubecost).', '* Create Pull Requests for major changes done on existing files in GitLab reste (git).', '', 'Technical environment:', '- Ubuntu 20.04 LTS (Focal Fossa), Terraform (v0.12), Azure Cli, Kubernetes (v1.19.11), K9s, Helm (v3), Docker, Jib, Azure Portal, Azure DevOps, Azure Artifacts, maven, SonarQube, JaCoCo, Intellij IDE, VS Code, git, GitLab, AKS, Slack, Jira.']",Project:,"- Talenteo is a Cloud Native HRIS solution which covers all the management processes of an HRM: recruitments, trainings, missions, editing and sending summaries, co-optations, monitoring and evaluation of consultants. The platform is developed with Angular on the Front-End and Spring Boot on the Back End.",,Goal:,"- Automate CI/CD chains to deploy a Cloud Native HRIS Called solution ""Talenteo"" on a Kubernetes Cluster managed by Microsoft Azure (AKS) using Azure DevOps.",,Tasks:,"* Configure a pipeline to supply an Azure infrastructure using Terraform (Cluster AKS, Blob Storage, Azure Container Registry, Vnet and Subnets).","* Setting up three namesspaces on AKS (Dev, Int, Prod).",* Deploy PostgreSQL in Statefulset on AKS using Helm and configure database schemas and users.,Cloud & DevOps Engineer
71,['unckown'],unckown,,,,,,,,,,IT Support Specialist
72,['unckown'],unckown,,,,,,,,,,Cloud & DevOps Engineer
73,['unckown'],unckown,,,,,,,,,,System and Backup Ingineer
74,['unckown'],unckown,,,,,,,,,,Cloud Support Engineer
75,"['Build secure and automated high-performance computing infrastructure solutions using Ansible, Terraform and K8s.', 'Establishment a CI/CD roadmap and implementing it on the project with Jenkins using Distributed buildings. ', 'Monitor, analytics, and report performance statistics on kubernets cluster using Dynatrace and Prometheus.', 'Experience with Software quality tools (Sonarqube).']","Build secure and automated high-performance computing infrastructure solutions using Ansible, Terraform and K8s.",Establishment a CI/CD roadmap and implementing it on the project with Jenkins using Distributed buildings. ,"Monitor, analytics, and report performance statistics on kubernets cluster using Dynatrace and Prometheus.",Experience with Software quality tools (Sonarqube).,,,,,,,DevOps Engineer
76,['unckown'],unckown,,,,,,,,,,Cloud Engineer
77,['unckown'],unckown,,,,,,,,,,SysOps Cloud Engineer
78,['Skills: Docker Products · Amazon Web Services · Git · Pipelines'],Skills: Docker Products · Amazon Web Services · Git · Pipelines,,,,,,,,,,Devops Engineer
79,['Skills: Information Security · Network Engineering · Fortinet · Networking'],Skills: Information Security · Network Engineering · Fortinet · Networking,,,,,,,,,,Cyber Security Engineer
80,"['• Ensure the steps of the CI/CD pipeline: Github, Jenkins, Docker, Sonarqube Kubernets, GCP', '• System support: Linux, Tomcat/Jboss, Apache, Nginx, Mysql, Postgresql, MongoDB', '• Train, advise and assist users', '• Ensure the preventive and curative maintenance of infra-clients on a regular basis', '• Install, upgrade and upgrade hardware and software components of computer systems', '• Administer and maintain the network and its services,', '• Ensuring the reliability and security of the entire system, monitoring of the local network,']","• Ensure the steps of the CI/CD pipeline: Github, Jenkins, Docker, Sonarqube Kubernets, GCP","• System support: Linux, Tomcat/Jboss, Apache, Nginx, Mysql, Postgresql, MongoDB","• Train, advise and assist users",• Ensure the preventive and curative maintenance of infra-clients on a regular basis,"• Install, upgrade and upgrade hardware and software components of computer systems","• Administer and maintain the network and its services,","• Ensuring the reliability and security of the entire system, monitoring of the local network,",,,,DevOps Engineer
81,"['-Deploy, improvise, monitor and maintain data services for a SaaS application', '-Configure, create and maintain data pipelines for multiple sources (Shopify, Klaviyo, Facebook, Google ads...)', '- Google Cloud Management Platform Data services (Bigquery, PubSub)', '-Develop and improve APIs', '-Code review']","-Deploy, improvise, monitor and maintain data services for a SaaS application","-Configure, create and maintain data pipelines for multiple sources (Shopify, Klaviyo, Facebook, Google ads...)","- Google Cloud Management Platform Data services (Bigquery, PubSub)",-Develop and improve APIs,-Code review,,,,,,Software Engineer
82,['Skills: Angular · C#'],Skills: Angular · C#,,,,,,,,,,Application Developer
83,"['• Deployment of web application (angular,springboot) with google kubernets engine using google datastore as database ', '• Facilitating migration of kubernets from docker to k8s using services,pods and deployments', '• Performed Branching, Tagging, Release Activities on Version Control Tools: BitBucket, git']","• Deployment of web application (angular,springboot) with google kubernets engine using google datastore as database ","• Facilitating migration of kubernets from docker to k8s using services,pods and deployments","• Performed Branching, Tagging, Release Activities on Version Control Tools: BitBucket, git",,,,,,,,Cloud Engineer
84,['unckown'],unckown,,,,,,,,,,Senior Cloud/DevOps Engineer
85,['Skills: Engineering'],Skills: Engineering,,,,,,,,,,Student Intern
86,['unckown'],unckown,,,,,,,,,,DevOps Engineer
87,['Skills: Continuous Delivery · Git · Bitbucket · Ansible Tower · Hybrid Cloud management Micro Focus'],Skills: Continuous Delivery · Git · Bitbucket · Ansible Tower · Hybrid Cloud management Micro Focus,,,,,,,,,,End of Studies Internship
88,['unckown'],unckown,,,,,,,,,,Cloud and Applications Support Engineer
89,['unckown'],unckown,,,,,,,,,,Test Automation Engineer
90,['unckown'],unckown,,,,,,,,,,PFE Stagaire
91,"['Subject: Implementation of a decision-making solution for cost optimization on the cloud azure', '', 'Work Done:', '* Study of the existing, collection of needs of the workforce of the company.', '* Study of Azure Cloud APP concepts.', '* Identify the main functional and non-functional needs of my project', '* Identification of cost optimization axes on Microsoft Azure.', '* Configuration of the Azure active directory.', '* Collection of azure resources related to optimization axes.', '* Search for (mathematical) optimization formulas.', '* Visualization of inventories of resources collected on the web interface.', '* Application of optimization formulas on the web interface.', '*Added recommendations.', '* Generalization of several subscriptions.', '* Testing and improvement of the proposed solution.', '* PROD implementation of the solution at VERMEG.', '', 'TECHNOLOGY: Microsoft Azure, Azure APIs, HTML, CSS, Bootstrap, Django Framework,Python, Bash,PowerShell, Json Template, Virtual Machine.']",Subject: Implementation of a decision-making solution for cost optimization on the cloud azure,,Work Done:,"* Study of the existing, collection of needs of the workforce of the company.",* Study of Azure Cloud APP concepts.,* Identify the main functional and non-functional needs of my project,* Identification of cost optimization axes on Microsoft Azure.,* Configuration of the Azure active directory.,* Collection of azure resources related to optimization axes.,* Search for (mathematical) optimization formulas.,End of study project internship
92,"['-Create and configure Developments Kubernetes infrastructures based on MiniKube and nginx controller.', '-Create and configure Azure Kubernetes services (AKS) ', '-Automate deploying projects in Kubernetes infrastructure using pipelines ', '-Configure and manage servers ( Nginx, Php, Php-Fpm, Varnish.....) ', '-Monitor production waiters ', '-Performance testing ', '-Manage Backups of development and production servers ', '-Setup and maintaining users account and users Access on different development platform', 'Technologies used : Azure, Kubernetes, Docker, Ansible, Bamboo, Bitbucket, Grafana, JMeter, Zabbix,Microsoft activedirectory, Bash scripting']",-Create and configure Developments Kubernetes infrastructures based on MiniKube and nginx controller.,-Create and configure Azure Kubernetes services (AKS) ,-Automate deploying projects in Kubernetes infrastructure using pipelines ,"-Configure and manage servers ( Nginx, Php, Php-Fpm, Varnish.....) ",-Monitor production waiters ,-Performance testing ,-Manage Backups of development and production servers ,-Setup and maintaining users account and users Access on different development platform,"Technologies used : Azure, Kubernetes, Docker, Ansible, Bamboo, Bitbucket, Grafana, JMeter, Zabbix,Microsoft activedirectory, Bash scripting",,DevOps Engineer
93,['unckown'],unckown,,,,,,,,,,Trainee
94,['unckown'],unckown,,,,,,,,,,Cloud operations engineer
95,['unckown'],unckown,,,,,,,,,,DevOps-AWS Engineer
96,"['Development and automation project', '• Development an e-learning application.', '• Containerize the application.', '• Deploy application and DB to Azure.', '• Automate CI/CD tasks with Jenkins and Azure Pipelines.', '• Automatic configuration with ansible.', '• Tech :.Net, GitLab, Docke, Azure, Ansible, and Kubernetes.']",Development and automation project,• Development an e-learning application.,• Containerize the application.,• Deploy application and DB to Azure.,• Automate CI/CD tasks with Jenkins and Azure Pipelines.,• Automatic configuration with ansible.,"• Tech :.Net, GitLab, Docke, Azure, Ansible, and Kubernetes.",,,,Devops engineer 
97,['unckown'],unckown,,,,,,,,,,DevOps Consultant
98,['unckown'],unckown,,,,,,,,,,unckown
99,['unckown'],unckown,,,,,,,,,,Cloud Engineer
100,['unckown'],unckown,,,,,,,,,,DevOps Engineer
101,['unckown'],unckown,,,,,,,,,,Project trainee
102,['unckown'],unckown,,,,,,,,,,unckown
103,['Development and deployment of a web application'],Development and deployment of a web application,,,,,,,,,,Engineer's course
104,['Skills : Node.js · MongoDB · View.js'],Skills : Node.js · MongoDB · View.js,,,,,,,,,,Summer Internship
105,['Skills: Linux Server · Linux System Administration · IT Hardware Support · Network Troubleshooting'],Skills: Linux Server · Linux System Administration · IT Hardware Support · Network Troubleshooting,,,,,,,,,,Cloud computing Student
106,['unckown'],unckown,,,,,,,,,,Student
107,['unckown'],unckown,,,,,,,,,,Internship - PFE
108,['unckown'],unckown,,,,,,,,,,ArcTic Option Manager (IT Architecture and Cloud Computing)
109,"['Preparation of a DevOps deployment environment using Openstack,Openshift and Ansible']","Preparation of a DevOps deployment environment using Openstack,Openshift and Ansible",,,,,,,,,,Cloud engineering Intern
110,['Skills : Postman · Angular Spring Boot'],Skills : Postman · Angular Spring Boot,,,,,,,,,,Trainee
111,['unckown'],unckown,,,,,,,,,,unckown
112,['unckown'],unckown,,,,,,,,,,VMware Engineer Hybrid Cloud
113,['development of a mobile app on Android'],development of a mobile app on Android,,,,,,,,,,Trainee
114,['Digitalization in Supply Chain department distribution.'],Digitalization in Supply Chain department distribution.,,,,,,,,,,Student Intern
115,['Development of some features of CRM Client Relationship Management (Customer Relationship Management) software'],Development of some features of CRM Client Relationship Management (Customer Relationship Management) software,,,,,,,,,,Full Stack Developer
116,['unckown'],unckown,,,,,,,,,,Computer student
117,"['Keywords', '- Cloud : AWS, Azure', '- Kubernetes (EKS, AKS)', '- Docker.', '- Istio', '- Terraform', '- GitOps: ArgoCD, Gitlab CI, ', '- Monitoring: Loki, Grafana, Prometheus, Kibana, ElasticSearch, Fluentd, Cloudwatch', '- Storage Adminstration: Rook Ceph, FSX, Longhorn, EBS,S3', '- Database Adminstration :PostgreSql,DynamoDb', '- Scripting (Bash,Shell)', '- System Adminstration (ubunto)', '- Microservices']",Keywords,"- Cloud : AWS, Azure","- Kubernetes (EKS, AKS)",- Docker.,- Istio,- Terraform,"- GitOps: ArgoCD, Gitlab CI, ","- Monitoring: Loki, Grafana, Prometheus, Kibana, ElasticSearch, Fluentd, Cloudwatch","- Storage Adminstration: Rook Ceph, FSX, Longhorn, EBS,S3","- Database Adminstration :PostgreSql,DynamoDb",Cloud & Dev/Ops Developer 
118,['unckown'],unckown,,,,,,,,,,SysAdmin DevOps Engineer
119,['Development of a web application for ITSS human resources.'],Development of a web application for ITSS human resources.,,,,,,,,,,Project trainee
120,"['‐ Administration of SFM IT tools', '‐ Administrator Systems and Networks ', '- Implementation of security architectures (security software installation and manipulation)', '- Cloud manager', '- Penetration tests', '- Vulnerability analysis of web applications', '- Continuous Integration (DevOps)', ""‐ Internal audit of SFM's IS"", '‐ Implementation of the safety of the SFM IS', '‐ Participation in the development of the strategic plan for the digital development of SFM']",‐ Administration of SFM IT tools,‐ Administrator Systems and Networks ,- Implementation of security architectures (security software installation and manipulation),- Cloud manager,- Penetration tests,- Vulnerability analysis of web applications,- Continuous Integration (DevOps),‐ Internal audit of SFM's IS,‐ Implementation of the safety of the SFM IS,‐ Participation in the development of the strategic plan for the digital development of SFM,Cybersecurity and cloud DevSecOps engineer 
121,['Skills : DNS administration · Mail server · Nagios · Netkit'],Skills : DNS administration · Mail server · Nagios · Netkit,,,,,,,,,,System Administrator
122,['unckown'],unckown,,,,,,,,,,DevSecOps Engineer
123,['unckown'],unckown,,,,,,,,,,Full-stack Web-Developer
124,['unckown'],unckown,,,,,,,,,,Software Engineer
125,"['Setting up a SIEM (Honeypot, Thehie,Cortex,Misp)']","Setting up a SIEM (Honeypot, Thehie,Cortex,Misp)",,,,,,,,,,Internship at the end of studies
126,['Skills : Docker Products · Amazon Web Services · Git · Pipelines'],Skills : Docker Products · Amazon Web Services · Git · Pipelines,,,,,,,,,,Devops Engineer
127,['unckown'],unckown,,,,,,,,,,Trainee
128,['unckown'],unckown,,,,,,,,,,Student
129,['unckown'],unckown,,,,,,,,,,Student trainee
130,['Skills : English · DevOps · Microsoft Azure · Grafana · Jenkins · Unix Administration'],Skills : English · DevOps · Microsoft Azure · Grafana · Jenkins · Unix Administration,,,,,,,,,,Cloud engineer
131,['Skills : Maven · Spring Boot'],Skills : Maven · Spring Boot,,,,,,,,,,Intern in Web Development
132,['unckown'],unckown,,,,,,,,,,Student trainee
133,['unckown'],unckown,,,,,,,,,,Trainee
134,['Summer internship: development of a mobile app (front + back) in gark for customer service management.'],Summer internship: development of a mobile app (front + back) in gark for customer service management.,,,,,,,,,,Mobile Developer internship
135,['unckown'],unckown,,,,,,,,,,Cloud Computing Student
136,['unckown'],unckown,,,,,,,,,,Student
137,"['*Contributes to the updating of a private cloud provisioning, management and billing platform.', '*Operation of the various cloud infrastructures as well as maintenance and monitoring of the server machines deployed in production.']","*Contributes to the updating of a private cloud provisioning, management and billing platform.",*Operation of the various cloud infrastructures as well as maintenance and monitoring of the server machines deployed in production.,,,,,,,,,Cloud engineer
138,['unckown'],unckown,,,,,,,,,,Internship network
139,['Skills : Service-Oriented Architecture (SOA) · System Administration · Microsoft Azure · Automation · Cloud Computing'],Skills : Service-Oriented Architecture (SOA) · System Administration · Microsoft Azure · Automation · Cloud Computing,,,,,,,,,,Information Technology Instructor
140,['unckown'],unckown,,,,,,,,,,Cloud Intern / DevOps
