,jobTitle,skills,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,cluster
10,web3 developer,PHPHTML5JavaScriptHTMLNode.jsLaravel,"[""I'm currently a we3 developer at Lightency.""]",I'm currently a we3 developer at Lightency.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
11,Trainee ,PostgreSQLTalendMicrosoft Power BIunknownunknownunknown,['PFE course'],PFE course,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
12,Business Intelligence Engineer,Data AnalyticsGamingpythonMicrosoft Power BIMicrosoft ExcelGoogle Analytics,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
13,Decision-making intelligence developer,AnalyticalMicrosoft Power BISQLDecision-making informaticsSQL Server Integration Services (SSIS)Microsoft BI Suite,['Developer in decision-making computing '],Developer in decision-making computing ,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
14,Business Intelligence Internal,DevOpsAngularSpring BootMicrosoft Power BIBusiness Intelligence (BI)Big Data,['Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS)'],Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
15,Cloud Engineer,Cloud ComputingSoftware DevelopmentAstrophysicsQtSymfony FrameworkAmazon Web Services (AWS),['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
16,Cloud engineer and devops,JavaCloud ComputingGitLinux System AdministrationMySQLAnsible,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
17,Cloud & DevOps Engineer,DevOpsCloud ComputingAmazon Web Services (AWS)IT Infrastructure ManagementSoftware DevelopmentInfrastructure as code (IaC),['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
18,Internship - PFE,Oracle DatabaseC++LinuxNetwork administrationWeb developmentNetwork security,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
19,System Administrator,EngineersLinuxCloud ComputingDevOpsAmazon Web ServicesJenkins,"['Implementation of a supervision solution for the GCT IT system with e-mail and SMS notifications.', '-Technologies: Nagios, Postfix, SMS Server Tools.']",Implementation of a supervision solution for the GCT IT system with e-mail and SMS notifications.,"-Technologies: Nagios, Postfix, SMS Server Tools.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
20,Senior Devops Engineer,Continuous Integration and Continuous Delivery (CI/CD)IT Infrastructure OperationsSecurityServer AdministrationGitOpsDocker,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
21,DevOps & Cloud Engineer,GoTerraformAnsibleScrumDockerAngular,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
22,Cloud Support Engineer,VirtualizationCloud ComputingGitMicrosoft AzureNetwork AdministrationDevOps,"['24/7 development operations on IBMI AS400 system', 'Being part of the Cloud Ops team in the company that works on: Managing and monitoring clients resources in the cloud, Managing and troubleshooting Windows servers, VMs, RDPs.', 'Working on server health checks', 'Continue monitoring using HALCYON monitoring tool', 'Analyzing and taking care of ERP applications-related alerts', 'Generating and Sending the Performance Reports on time to customers.']",24/7 development operations on IBMI AS400 system,"Being part of the Cloud Ops team in the company that works on: Managing and monitoring clients resources in the cloud, Managing and troubleshooting Windows servers, VMs, RDPs.",Working on server health checks,Continue monitoring using HALCYON monitoring tool,Analyzing and taking care of ERP applications-related alerts,Generating and Sending the Performance Reports on time to customers.,unknown,unknown,unknown,unknown,3.0
23,DevOps Engineer,Tekton CI/CDGitlabContinuous Integration and Continuous Delivery (CI/CD)Apache KafkaOpenShiftQuarkus,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
24,Azure Engineer,Cloud ComputingCloud ApplicationsEnterprise MobilityNetworkingMicrosoft AzureSystem administration,['Skills: Microsoft Azure'],Skills: Microsoft Azure,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
25,Cloud Engineer ,C++JavaSQLLinuxPHPJavaScript,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
26,Cloud & DevOps Engineer ,Cloud ComputingCloud SecurityOpenStackBig DataVirtualizationStorage Virtualization,"['Working with Microsoft Azure and its different Scopes ( AAD, VMs, SQL, SQLMI, Storage Accounts, Automation Accounts, Azure Functions,..... ).', 'Migrating on-premises Applications to the cloud (hybrid and full public solutions ).', 'Working With Azure Kubernetes Service both Managed and UnManaged.', 'Writing DockerFiles and Generating Docker Images.', 'Developing CICD pipelines using Azure DevOps ( Azure ARM, Bash, Powershell, Ansible....... ).', 'Support of the Infrastructure and running Applications.']","Working with Microsoft Azure and its different Scopes ( AAD, VMs, SQL, SQLMI, Storage Accounts, Automation Accounts, Azure Functions,..... ).",Migrating on-premises Applications to the cloud (hybrid and full public solutions ).,Working With Azure Kubernetes Service both Managed and UnManaged.,Writing DockerFiles and Generating Docker Images.,"Developing CICD pipelines using Azure DevOps ( Azure ARM, Bash, Powershell, Ansible....... ).",Support of the Infrastructure and running Applications.,unknown,unknown,unknown,unknown,3.0
27,Senior Azure Cloud Engineer,CentOSApacheMySQLVoIPSystem AdministrationNetwork security,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
28,Internship Engineer DevOps,Cloud ComputingDevOpsAWSProject managementEngineeringAnalytical skills,['Continuous integration and deployment (CI/CD) of an HRM application under odoo.'],Continuous integration and deployment (CI/CD) of an HRM application under odoo.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
29,DevSecOps Engineer,NexusJenkinsAzure SQLAzure Active DirectoryPowershell scriptingCloud security,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
30,DevOps & Kubernetes Administrator ,Cloud ComputingDevOpsMicrosoft AzureOpenStackDockerKubernetes,"['- Setting up an automated infrastructure on Google Cloud using Terraform, GitHub Actions, and Rancher Kubernetes Engine;', '- Setting up with Helm Chart an observability stack using Prometheus, Grafana, and Alert Manager to send notifications on Slack;', '- Separating metrics and logs per namespaces using Prometheus federator;', '- Deploying a web app, managing the config files of the resources deployed in the cluster using Lens;', '- Automatic the deployment of a Spring Boot/Angular/MySQL app on AKS using GitHub Pipeline actions;', '- Kubernetes cluster administration.']","- Setting up an automated infrastructure on Google Cloud using Terraform, GitHub Actions, and Rancher Kubernetes Engine;","- Setting up with Helm Chart an observability stack using Prometheus, Grafana, and Alert Manager to send notifications on Slack;",- Separating metrics and logs per namespaces using Prometheus federator;,"- Deploying a web app, managing the config files of the resources deployed in the cluster using Lens;",- Automatic the deployment of a Spring Boot/Angular/MySQL app on AKS using GitHub Pipeline actions;,- Kubernetes cluster administration.,unknown,unknown,unknown,unknown,0.0
31,DevOps Consultant,Cloud ComputingScrumLinuxC#Jenkinsdocker,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
32,Cloud Engineer,Big dataBusiness IntelligenceAmazon Web Services (AWS)Data MiningProject managementFinance,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
33,Technical Consultant,DevOpsMicrosoft AzureAsp.Net CoreAngularSQLunknown,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
34,VMware Engineer Hybrid Cloud,MySQLUMLPHPPythonPhpMyAdminHTML5,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
35,Internship ,React.jsNode.jsMongoDBExpress.jssystemdMicrosoft Azure,['Skills: Microsoft Azure · Jenkins · docker'],Skills: Microsoft Azure · Jenkins · docker,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
36,Information Technology Instructor,Service-Oriented Architecture (SOA)System AdministrationMicrosoft AzureAutomationAnsibleInitiation Cloud,['Skills: Service-Oriented Architecture (SOA) · System Administration · Microsoft Azure · Automation · Cloud Computing'],Skills: Service-Oriented Architecture (SOA) · System Administration · Microsoft Azure · Automation · Cloud Computing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
37,Summer Internship,Python (Programming Language)AngularJSAngular MaterialFlaskWorkbenchdocker,"['Design, development and implementation of a cyber threat analysis tool within CERT Axians.', 'This tool allows you to store, organize and visualize information about cyber threats.']","Design, development and implementation of a cyber threat analysis tool within CERT Axians.","This tool allows you to store, organize and visualize information about cyber threats.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
38,DevOps and Cloud Computing intern,odoo12Python (programming language)ScrumJacocoMockitoContinuous Integration and Continuous Delivery (CI/CD),"['Setting up a Kubernet cluster production ready using Kubespray', 'Creation of nginx pods', 'Deployment of an Angular application to the cluster using DockerFile+DockerHub+ Kubernetes Dashboard', 'Cluster +Application monitoring via prophesying and Grafana']",Setting up a Kubernet cluster production ready using Kubespray,Creation of nginx pods,Deployment of an Angular application to the cluster using DockerFile+DockerHub+ Kubernetes Dashboard,Cluster +Application monitoring via prophesying and Grafana,unknown,unknown,unknown,unknown,unknown,unknown,3.0
39,Cloud platform engineer,Testing AutomationRobot FrameworkJenkinsTest CasesTest PlanningInternet Protocol Suite (TCP/IP),['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
40,DevOps engineer,Network administrationTeam spiritLinux System AdministrationCritical SpiritSense of organizationunknown,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
41,Microsoft Certified Trainer,JavaJava Enterprise EditionProject ManagementProduct ManagementPricing StrategySearch Engine Optimization (SEO),['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
42,Cloud and Automation engineer ,Unified Modeling Language (UML)Unix AdministrationJava Web ServicesNetwork SecurityLinuxJava,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
43,Junior Software Engineer,DevOpsCloud computingLinux System AdministrationVirtualizationNetwork SecurityDNS,['Developing an e-learning platform using spring boot and jhipster. the final project was deployed on docker.'],Developing an e-learning platform using spring boot and jhipster. the final project was deployed on docker.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,5.0
44,Cloud Data Engineer GCP,GoKubernetesDockerJavaAngularLinux,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
45,Cloud & DevOps Engineer ,Microsoft OfficeManagementMicrosoft ExcelCustomer serviceLeadershipMicrosoft Word,"['Load test implementation for new features developed by the dev team before deployment on the production environment', 'Create Jenkins pipeline to automata test execution', 'Analyze load test results to verify if there is a bottleneck that needs improvement in the infrastructure on AWS', 'Create Test Environments on AWS Using Terraform & Packer as IaC (Infrastructure as Code) tool and Ansible as CM (Configuration Management) tool', 'Monitor production environment servers on AWS using CloudWatch service', 'Automatic several manual tasks using Jenkins pipelines', 'Automation and management test and production environment services on AWS']",Load test implementation for new features developed by the dev team before deployment on the production environment,Create Jenkins pipeline to automata test execution,Analyze load test results to verify if there is a bottleneck that needs improvement in the infrastructure on AWS,Create Test Environments on AWS Using Terraform & Packer as IaC (Infrastructure as Code) tool and Ansible as CM (Configuration Management) tool,Monitor production environment servers on AWS using CloudWatch service,Automatic several manual tasks using Jenkins pipelines,Automation and management test and production environment services on AWS,unknown,unknown,unknown,3.0
46,Cloud DevOps Engineer,DockerJenkinsAnsibleCloud ComputingJava Enterprise Edition.NET framework,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
47,DevOps Engineer,Node.jsReact.jsMongoDBInfrastructureVagrantCassandra,"['In this internship i worked on the infrastructure ‘s automation using ansible and create a website for ticket reservation for cinemas in Tunisia using node.js, react.js and Mongolia']","In this internship i worked on the infrastructure ‘s automation using ansible and create a website for ticket reservation for cinemas in Tunisia using node.js, react.js and Mongolia",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
48,SysAdmin DevOps Engineer,Amazon Web Services (AWS)UnixMySQLPublic SpeakingC#Article,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
49,DevOps & Cloud Engineer,MavenMicrosoft AzureGoogle Cloud Platform (GCP)Docker productsLinuxJavaFX,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
50,Cloud & Support Engineer,Amazon Web ServicesLinuxGitREST APIMicrosoft AzureWindows Server,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
51,DevOps Engineer and Cloud Architect,MySQLJavaLinuxSymfonyC++HTML5,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
52,Cloud Operations Engineer,AnsibleOpenStackUnixVirtualizationCloud ComputingAutomation,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
53,DevOps engineer,dockerKubernetesAnsibleTerraformJavaJavaScript,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
54,DevOps Engineer,Infrastructure as code (IaC)Amazon Web Services (AWS)CI/CDGitlabGoogle Cloud Platform (GCP)Google Kubernetes Engine (GKE),"['Modernisation of Kubernetes resources - Best Practices', 'Migration to a Highly Available and Secure GKE Cluster', 'Monitoring stack : Prometheus Operator, Prometheus, Alertmanager, Grafana, Thanos...', 'Security stack: Certmanager, Letsencrypt...', 'Networking stack: Pomerium, Kubernetes Gateway API...']",Modernisation of Kubernetes resources - Best Practices,Migration to a Highly Available and Secure GKE Cluster,"Monitoring stack : Prometheus Operator, Prometheus, Alertmanager, Grafana, Thanos...","Security stack: Certmanager, Letsencrypt...","Networking stack: Pomerium, Kubernetes Gateway API...",unknown,unknown,unknown,unknown,unknown,3.0
55,Cybersecurity and cloud DevSecOps engineer ,Cloud ComputingCybersecurityDevOpsElastic Stack (ELK)KibanaWindows Server,"['‐ Administration of SFM IT tools', '‐ Administrator Systems and Networks ', '- Implementation of security architectures (security software installation and manipulation)', '- Cloud manager', '- Penetration tests', '- Vulnerability analysis of web applications', '- Continuous Integration (DevOps)', ""‐ Internal audit of SFM's IS"", '‐ Implementation of the safety of the SFM IS', '‐ Participation in the development of the strategic plan for the digital development of SFM']",‐ Administration of SFM IT tools,‐ Administrator Systems and Networks ,- Implementation of security architectures (security software installation and manipulation),- Cloud manager,- Penetration tests,- Vulnerability analysis of web applications,- Continuous Integration (DevOps),‐ Internal audit of SFM's IS,‐ Implementation of the safety of the SFM IS,‐ Participation in the development of the strategic plan for the digital development of SFM,0.0
56,Cloud engineer,google G suiteSymfony FrameworkGitHubHTMLBootstrapJavaScript,"['*Contributes to the updating of a private cloud provisioning, management and billing platform.', '*Operation of the various cloud infrastructures as well as maintenance and monitoring of the server machines deployed in production.']","*Contributes to the updating of a private cloud provisioning, management and billing platform.",*Operation of the various cloud infrastructures as well as maintenance and monitoring of the server machines deployed in production.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
57, Aviation Database administrator,Amazon Web Services (AWS)Analytical SkillsDevOpsOracle DatabaseICAOAviation,"['- Installing and upgrading the Oracle Database server and application tools', '', '- Allocating system storage and planning future storage requirements for the database system', '', '- Creating primary database storage structures (tablespaces) after application developers have designed an application', '', '- Creating primary objects (tables, views, indexes) once application developers have designed an application', '', '- Modifying the database structure, as necessary, from information given by application developers', '- using Ground Damage Database (GDDB) to collect information that helps the industry to understand trends and performance and identify risks by their frequency and seriousness.']",- Installing and upgrading the Oracle Database server and application tools,unknown,- Allocating system storage and planning future storage requirements for the database system,unknown,- Creating primary database storage structures (tablespaces) after application developers have designed an application,unknown,"- Creating primary objects (tables, views, indexes) once application developers have designed an application",unknown,"- Modifying the database structure, as necessary, from information given by application developers",- using Ground Damage Database (GDDB) to collect information that helps the industry to understand trends and performance and identify risks by their frequency and seriousness.,0.0
58,Data Analyst ,Analytical skillsInvestigator's brochure (BI)IaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaBig dataDeep learningData mining,['Automatic processing of CVs and profiles with Big Data (cv library)'],Automatic processing of CVs and profiles with Big Data (cv library),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
59,Cloud Engineer,Amazon Web ServicesJavaScriptPythonMySQLphpSymfony,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
60,DevOps Engineer,Cloud DevelopmentKubernetesDevOpsAnsibleAzure DevOpsJava,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
61,Cloud & DevOps Engineer,Microsoft AzureLinuxHelmAzure Kubernetes Service (AKS)Azure DevOpsGit,"['Project:', '- Talenteo is a Cloud Native HRIS solution which covers all the management processes of an HRM: recruitments, trainings, missions, editing and sending summaries, co-optations, monitoring and evaluation of consultants. The platform is developed with Angular on the Front-End and Spring Boot on the Back End.', '', 'Goal:', '- Automate CI/CD chains to deploy a Cloud Native HRIS Called solution ""Talenteo"" on a Kubernetes Cluster managed by Microsoft Azure (AKS) using Azure DevOps.', '', 'Tasks:', '* Configure a pipeline to supply an Azure infrastructure using Terraform (Cluster AKS, Blob Storage, Azure Container Registry, Vnet and Subnets).', '* Setting up three namesspaces on AKS (Dev, Int, Prod).', '* Deploy PostgreSQL in Statefulset on AKS using Helm and configure database schemas and users.', '* Dockerize the Back-End micro-services (Spring Boot) with Jib and use a dockerfile to contain the Front-End part (Angular 9).', '* use Helm to make dynamic Kubernetes resources declarations (Ingress, Deployments, Services, Secrets, TLS certificate) by injecting inside the concerned values from a separated files entitled values.yml. Each intended environment such as Dev, Int or Prod has its own values.', '* Implementation automated CI/CD pipelines for each microservice and the Front-End part (from GitLab --> Azure DevOps pipelines Build --> Azure DevOps pipelines Release --> AKS).', '* Ensure own cost management on Azure (Kubecost).', '* Create Pull Requests for major changes done on existing files in GitLab reste (git).', '', 'Technical environment:', '- Ubuntu 20.04 LTS (Focal Fossa), Terraform (v0.12), Azure Cli, Kubernetes (v1.19.11), K9s, Helm (v3), Docker, Jib, Azure Portal, Azure DevOps, Azure Artifacts, maven, SonarQube, JaCoCo, Intellij IDE, VS Code, git, GitLab, AKS, Slack, Jira.']",Project:,"- Talenteo is a Cloud Native HRIS solution which covers all the management processes of an HRM: recruitments, trainings, missions, editing and sending summaries, co-optations, monitoring and evaluation of consultants. The platform is developed with Angular on the Front-End and Spring Boot on the Back End.",unknown,Goal:,"- Automate CI/CD chains to deploy a Cloud Native HRIS Called solution ""Talenteo"" on a Kubernetes Cluster managed by Microsoft Azure (AKS) using Azure DevOps.",unknown,Tasks:,"* Configure a pipeline to supply an Azure infrastructure using Terraform (Cluster AKS, Blob Storage, Azure Container Registry, Vnet and Subnets).","* Setting up three namesspaces on AKS (Dev, Int, Prod).",* Deploy PostgreSQL in Statefulset on AKS using Helm and configure database schemas and users.,3.0
62,IT Support Specialist,unknownunknownunknownunknownunknownunknown,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
63,Cloud & DevOps Engineer,kubernetsProject managementGitMicrosoft AzureDockerAKS,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
64,System and Backup Ingineer,Talking in publicSocial networksCustomer serviceTeamworkNetwork AdministrationCloud Computing,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
65,Cloud Support Engineer,System AdministrationAmazon Web Services (AWS)KubernetesSoftware DevelopmentShell ScriptingC++,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
66,DevOps Engineer,Elastic Stack (ELK)DynatracePrometheus.ioGrafanaLinuxJenkins,"['Build secure and automated high-performance computing infrastructure solutions using Ansible, Terraform and K8s.', 'Establishment a CI/CD roadmap and implementing it on the project with Jenkins using Distributed buildings. ', 'Monitor, analytics, and report performance statistics on kubernets cluster using Dynatrace and Prometheus.', 'Experience with Software quality tools (Sonarqube).']","Build secure and automated high-performance computing infrastructure solutions using Ansible, Terraform and K8s.",Establishment a CI/CD roadmap and implementing it on the project with Jenkins using Distributed buildings. ,"Monitor, analytics, and report performance statistics on kubernets cluster using Dynatrace and Prometheus.",Experience with Software quality tools (Sonarqube).,unknown,unknown,unknown,unknown,unknown,unknown,3.0
67,Cloud Engineer,Amazon Web Services (AWS)Google Cloud Platform (GCP)System AdministrationCloud ComputingInfrastructureLinux,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
68,SysOps Cloud Engineer,Amazon Web Services (AWS)AnsibleTerraformOpenStackCloud ComputingPython (Programming Language),['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
69,Devops Engineer,React.jsBitbucketNode.jsSonarqubeJenkinsDocker products,['Skills: Docker Products · Amazon Web Services · Git · Pipelines'],Skills: Docker Products · Amazon Web Services · Git · Pipelines,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.0
70,Cyber Security Engineer,Information SecurityNetwork EngineeringFortinetNetworkingCybersecurityLinux,['Skills: Information Security · Network Engineering · Fortinet · Networking'],Skills: Information Security · Network Engineering · Fortinet · Networking,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
71,DevOps Engineer,LinuxC++UMLCJavaMySQL,"['• Ensure the steps of the CI/CD pipeline: Github, Jenkins, Docker, Sonarqube Kubernets, GCP', '• System support: Linux, Tomcat/Jboss, Apache, Nginx, Mysql, Postgresql, MongoDB', '• Train, advise and assist users', '• Ensure the preventive and curative maintenance of infra-clients on a regular basis', '• Install, upgrade and upgrade hardware and software components of computer systems', '• Administer and maintain the network and its services,', '• Ensuring the reliability and security of the entire system, monitoring of the local network,']","• Ensure the steps of the CI/CD pipeline: Github, Jenkins, Docker, Sonarqube Kubernets, GCP","• System support: Linux, Tomcat/Jboss, Apache, Nginx, Mysql, Postgresql, MongoDB","• Train, advise and assist users",• Ensure the preventive and curative maintenance of infra-clients on a regular basis,"• Install, upgrade and upgrade hardware and software components of computer systems","• Administer and maintain the network and its services,","• Ensuring the reliability and security of the entire system, monitoring of the local network,",unknown,unknown,unknown,3.0
72,Software Engineer,"AirbyteExtract, Transform, Load (ETL)MySQLFlaskGoDocker","['-Deploy, improvise, monitor and maintain data services for a SaaS application', '-Configure, create and maintain data pipelines for multiple sources (Shopify, Klaviyo, Facebook, Google ads...)', '- Google Cloud Management Platform Data services (Bigquery, PubSub)', '-Develop and improve APIs', '-Code review']","-Deploy, improvise, monitor and maintain data services for a SaaS application","-Configure, create and maintain data pipelines for multiple sources (Shopify, Klaviyo, Facebook, Google ads...)","- Google Cloud Management Platform Data services (Bigquery, PubSub)",-Develop and improve APIs,-Code review,unknown,unknown,unknown,unknown,unknown,5.0
73,Application Developer,AngularC#JavaScriptdockerASP.NETcss,['Skills: Angular · C#'],Skills: Angular · C#,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
