,jobTitle,skills,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10
32,Cloud & DevOps Engineer ,Cloud ComputingCloud SecurityOpenStackBig DataVirtualizationStorage Virtualization,"['Working with Microsoft Azure and its different Scopes ( AAD, VMs, SQL, SQLMI, Storage Accounts, Automation Accounts, Azure Functions,..... ).', 'Migrating on-premises Applications to the cloud (hybrid and full public solutions ).', 'Working With Azure Kubernetes Service both Managed and UnManaged.', 'Writing DockerFiles and Generating Docker Images.', 'Developing CICD pipelines using Azure DevOps ( Azure ARM, Bash, Powershell, Ansible....... ).', 'Support of the Infrastructure and running Applications.']","Working with Microsoft Azure and its different Scopes ( AAD, VMs, SQL, SQLMI, Storage Accounts, Automation Accounts, Azure Functions,..... ).",Migrating on-premises Applications to the cloud (hybrid and full public solutions ).,Working With Azure Kubernetes Service both Managed and UnManaged.,Writing DockerFiles and Generating Docker Images.,"Developing CICD pipelines using Azure DevOps ( Azure ARM, Bash, Powershell, Ansible....... ).",Support of the Infrastructure and running Applications.,,,,
33,Senior Azure Cloud Engineer,CentOSApacheMySQLVoIPSystem AdministrationNetwork security,['unknown'],unknown,,,,,,,,,
34,Internship Engineer DevOps,Cloud ComputingDevOpsAWSProject managementEngineeringAnalytical skills,['Continuous integration and deployment (CI/CD) of an HRM application under odoo.'],Continuous integration and deployment (CI/CD) of an HRM application under odoo.,,,,,,,,,
35,DevSecOps Engineer,NexusJenkinsAzure SQLAzure Active DirectoryPowershell scriptingCloud security,['unknown'],unknown,,,,,,,,,
36,DevOps & Kubernetes Administrator ,Cloud ComputingDevOpsMicrosoft AzureOpenStackDockerKubernetes,"['- Setting up an automated infrastructure on Google Cloud using Terraform, GitHub Actions, and Rancher Kubernetes Engine;', '- Setting up with Helm Chart an observability stack using Prometheus, Grafana, and Alert Manager to send notifications on Slack;', '- Separating metrics and logs per namespaces using Prometheus federator;', '- Deploying a web app, managing the config files of the resources deployed in the cluster using Lens;', '- Automatic the deployment of a Spring Boot/Angular/MySQL app on AKS using GitHub Pipeline actions;', '- Kubernetes cluster administration.']","- Setting up an automated infrastructure on Google Cloud using Terraform, GitHub Actions, and Rancher Kubernetes Engine;","- Setting up with Helm Chart an observability stack using Prometheus, Grafana, and Alert Manager to send notifications on Slack;",- Separating metrics and logs per namespaces using Prometheus federator;,"- Deploying a web app, managing the config files of the resources deployed in the cluster using Lens;",- Automatic the deployment of a Spring Boot/Angular/MySQL app on AKS using GitHub Pipeline actions;,- Kubernetes cluster administration.,,,,
37,DevOps Consultant,Cloud ComputingScrumLinuxC#Jenkinsdocker,['unknown'],unknown,,,,,,,,,
38,Cloud Engineer,Big dataBusiness IntelligenceAmazon Web Services (AWS)Data MiningProject managementFinance,['unknown'],unknown,,,,,,,,,
39,Technical Consultant,DevOpsMicrosoft AzureAsp.Net CoreAngularSQLunknown,['unknown'],unknown,,,,,,,,,
40,VMware Engineer Hybrid Cloud,MySQLUMLPHPPythonPhpMyAdminHTML5,['unknown'],unknown,,,,,,,,,
41,Internship ,React.jsNode.jsMongoDBExpress.jssystemdMicrosoft Azure,['Skills: Microsoft Azure · Jenkins · docker'],Skills: Microsoft Azure · Jenkins · docker,,,,,,,,,
42,Information Technology Instructor,Service-Oriented Architecture (SOA)System AdministrationMicrosoft AzureAutomationAnsibleInitiation Cloud,['Skills: Service-Oriented Architecture (SOA) · System Administration · Microsoft Azure · Automation · Cloud Computing'],Skills: Service-Oriented Architecture (SOA) · System Administration · Microsoft Azure · Automation · Cloud Computing,,,,,,,,,
43,Summer Internship,Python (Programming Language)AngularJSAngular MaterialFlaskWorkbenchdocker,"['Design, development and implementation of a cyber threat analysis tool within CERT Axians.', 'This tool allows you to store, organize and visualize information about cyber threats.']","Design, development and implementation of a cyber threat analysis tool within CERT Axians.","This tool allows you to store, organize and visualize information about cyber threats.",,,,,,,,
44,DevOps and Cloud Computing intern,odoo12Python (programming language)ScrumJacocoMockitoContinuous Integration and Continuous Delivery (CI/CD),"['Setting up a Kubernet cluster production ready using Kubespray', 'Creation of nginx pods', 'Deployment of an Angular application to the cluster using DockerFile+DockerHub+ Kubernetes Dashboard', 'Cluster +Application monitoring via prophesying and Grafana']",Setting up a Kubernet cluster production ready using Kubespray,Creation of nginx pods,Deployment of an Angular application to the cluster using DockerFile+DockerHub+ Kubernetes Dashboard,Cluster +Application monitoring via prophesying and Grafana,,,,,,
45,Cloud platform engineer,Testing AutomationRobot FrameworkJenkinsTest CasesTest PlanningInternet Protocol Suite (TCP/IP),['unknown'],unknown,,,,,,,,,
46,Student,.NET frameworkRESTful web servicesSpring BootOpenStackC#Database Management System (DBMS),['unknown'],unknown,,,,,,,,,
47,DevOps engineer,Network administrationTeam spiritLinux System AdministrationCritical SpiritSense of organizationunknown,['unknown'],unknown,,,,,,,,,
48,Microsoft Certified Trainer,JavaJava Enterprise EditionProject ManagementProduct ManagementPricing StrategySearch Engine Optimization (SEO),['unknown'],unknown,,,,,,,,,
49,Cloud and Automation engineer ,Unified Modeling Language (UML)Unix AdministrationJava Web ServicesNetwork SecurityLinuxJava,['unknown'],unknown,,,,,,,,,
50,Junior Software Engineer,DevOpsCloud computingLinux System AdministrationVirtualizationNetwork SecurityDNS,['Developing an e-learning platform using spring boot and jhipster. the final project was deployed on docker.'],Developing an e-learning platform using spring boot and jhipster. the final project was deployed on docker.,,,,,,,,,
51,Cloud Data Engineer GCP,GoKubernetesDockerJavaAngularLinux,['unknown'],unknown,,,,,,,,,
52,Student,AnsibleOpenStackDockerAWS CloudTrainingKubernetesAmazon EKS,['unknown'],unknown,,,,,,,,,
53,Cloud & DevOps Engineer ,Microsoft OfficeManagementMicrosoft ExcelCustomer serviceLeadershipMicrosoft Word,"['Load test implementation for new features developed by the dev team before deployment on the production environment', 'Create Jenkins pipeline to automata test execution', 'Analyze load test results to verify if there is a bottleneck that needs improvement in the infrastructure on AWS', 'Create Test Environments on AWS Using Terraform & Packer as IaC (Infrastructure as Code) tool and Ansible as CM (Configuration Management) tool', 'Monitor production environment servers on AWS using CloudWatch service', 'Automatic several manual tasks using Jenkins pipelines', 'Automation and management test and production environment services on AWS']",Load test implementation for new features developed by the dev team before deployment on the production environment,Create Jenkins pipeline to automata test execution,Analyze load test results to verify if there is a bottleneck that needs improvement in the infrastructure on AWS,Create Test Environments on AWS Using Terraform & Packer as IaC (Infrastructure as Code) tool and Ansible as CM (Configuration Management) tool,Monitor production environment servers on AWS using CloudWatch service,Automatic several manual tasks using Jenkins pipelines,Automation and management test and production environment services on AWS,,,
54,Cloud DevOps Engineer,DockerJenkinsAnsibleCloud ComputingJava Enterprise Edition.NET framework,['unknown'],unknown,,,,,,,,,
55,DevOps Engineer,Node.jsReact.jsMongoDBInfrastructureVagrantCassandra,"['In this internship i worked on the infrastructure ‘s automation using ansible and create a website for ticket reservation for cinemas in Tunisia using node.js, react.js and Mongolia']","In this internship i worked on the infrastructure ‘s automation using ansible and create a website for ticket reservation for cinemas in Tunisia using node.js, react.js and Mongolia",,,,,,,,,
56,SysAdmin DevOps Engineer,Amazon Web Services (AWS)UnixMySQLPublic SpeakingC#Article,['unknown'],unknown,,,,,,,,,
57,DevOps & Cloud Engineer,MavenMicrosoft AzureGoogle Cloud Platform (GCP)Docker productsLinuxJavaFX,['unknown'],unknown,,,,,,,,,
58,Cloud & Support Engineer,Amazon Web ServicesLinuxGitREST APIMicrosoft AzureWindows Server,['unknown'],unknown,,,,,,,,,
59,DevOps Engineer and Cloud Architect,MySQLJavaLinuxSymfonyC++HTML5,['unknown'],unknown,,,,,,,,,
60,Cloud Operations Engineer,AnsibleOpenStackUnixVirtualizationCloud ComputingAutomation,['unknown'],unknown,,,,,,,,,
61,DevOps engineer,dockerKubernetesAnsibleTerraformJavaJavaScript,['unknown'],unknown,,,,,,,,,
62,DevOps Engineer,Infrastructure as code (IaC)Amazon Web Services (AWS)CI/CDGitlabGoogle Cloud Platform (GCP)Google Kubernetes Engine (GKE),"['Modernisation of Kubernetes resources - Best Practices', 'Migration to a Highly Available and Secure GKE Cluster', 'Monitoring stack : Prometheus Operator, Prometheus, Alertmanager, Grafana, Thanos...', 'Security stack: Certmanager, Letsencrypt...', 'Networking stack: Pomerium, Kubernetes Gateway API...']",Modernisation of Kubernetes resources - Best Practices,Migration to a Highly Available and Secure GKE Cluster,"Monitoring stack : Prometheus Operator, Prometheus, Alertmanager, Grafana, Thanos...","Security stack: Certmanager, Letsencrypt...","Networking stack: Pomerium, Kubernetes Gateway API...",,,,,
63,Cybersecurity and cloud DevSecOps engineer ,Cloud ComputingCybersecurityDevOpsElastic Stack (ELK)KibanaWindows Server,"['‐ Administration of SFM IT tools', '‐ Administrator Systems and Networks ', '- Implementation of security architectures (security software installation and manipulation)', '- Cloud manager', '- Penetration tests', '- Vulnerability analysis of web applications', '- Continuous Integration (DevOps)', ""‐ Internal audit of SFM's IS"", '‐ Implementation of the safety of the SFM IS', '‐ Participation in the development of the strategic plan for the digital development of SFM']",‐ Administration of SFM IT tools,‐ Administrator Systems and Networks ,- Implementation of security architectures (security software installation and manipulation),- Cloud manager,- Penetration tests,- Vulnerability analysis of web applications,- Continuous Integration (DevOps),‐ Internal audit of SFM's IS,‐ Implementation of the safety of the SFM IS,‐ Participation in the development of the strategic plan for the digital development of SFM
64,Cloud engineer,google G suiteSymfony FrameworkGitHubHTMLBootstrapJavaScript,"['*Contributes to the updating of a private cloud provisioning, management and billing platform.', '*Operation of the various cloud infrastructures as well as maintenance and monitoring of the server machines deployed in production.']","*Contributes to the updating of a private cloud provisioning, management and billing platform.",*Operation of the various cloud infrastructures as well as maintenance and monitoring of the server machines deployed in production.,,,,,,,,
65, Aviation Database administrator,Amazon Web Services (AWS)Analytical SkillsDevOpsOracle DatabaseICAOAviation,"['- Installing and upgrading the Oracle Database server and application tools', '', '- Allocating system storage and planning future storage requirements for the database system', '', '- Creating primary database storage structures (tablespaces) after application developers have designed an application', '', '- Creating primary objects (tables, views, indexes) once application developers have designed an application', '', '- Modifying the database structure, as necessary, from information given by application developers', '- using Ground Damage Database (GDDB) to collect information that helps the industry to understand trends and performance and identify risks by their frequency and seriousness.']",- Installing and upgrading the Oracle Database server and application tools,,- Allocating system storage and planning future storage requirements for the database system,,- Creating primary database storage structures (tablespaces) after application developers have designed an application,,"- Creating primary objects (tables, views, indexes) once application developers have designed an application",,"- Modifying the database structure, as necessary, from information given by application developers",- using Ground Damage Database (GDDB) to collect information that helps the industry to understand trends and performance and identify risks by their frequency and seriousness.
66,Data Analyst ,Analytical skillsInvestigator's brochure (BI)IaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaBig dataDeep learningData mining,['Automatic processing of CVs and profiles with Big Data (cv library)'],Automatic processing of CVs and profiles with Big Data (cv library),,,,,,,,,
67,Trainee,Unified Modeling Language (UML)GitLabDevOpsDocker productsPrometheus.ioKubernetes,"['-Deploy applications using (Docker and HelmChart and Ubuntu)', '-Open pods with kubernets', '- use gitlab to ensure continuous integration', '- use of ArgoCD to ensure continuous delivery']",-Deploy applications using (Docker and HelmChart and Ubuntu),-Open pods with kubernets,- use gitlab to ensure continuous integration,- use of ArgoCD to ensure continuous delivery,,,,,,
68,Cloud Engineer,Amazon Web ServicesJavaScriptPythonMySQLphpSymfony,['unknown'],unknown,,,,,,,,,
69,DevOps Engineer,Cloud DevelopmentKubernetesDevOpsAnsibleAzure DevOpsJava,['unknown'],unknown,,,,,,,,,
70,Cloud & DevOps Engineer,Microsoft AzureLinuxHelmAzure Kubernetes Service (AKS)Azure DevOpsGit,"['Project:', '- Talenteo is a Cloud Native HRIS solution which covers all the management processes of an HRM: recruitments, trainings, missions, editing and sending summaries, co-optations, monitoring and evaluation of consultants. The platform is developed with Angular on the Front-End and Spring Boot on the Back End.', '', 'Goal:', '- Automate CI/CD chains to deploy a Cloud Native HRIS Called solution ""Talenteo"" on a Kubernetes Cluster managed by Microsoft Azure (AKS) using Azure DevOps.', '', 'Tasks:', '* Configure a pipeline to supply an Azure infrastructure using Terraform (Cluster AKS, Blob Storage, Azure Container Registry, Vnet and Subnets).', '* Setting up three namesspaces on AKS (Dev, Int, Prod).', '* Deploy PostgreSQL in Statefulset on AKS using Helm and configure database schemas and users.', '* Dockerize the Back-End micro-services (Spring Boot) with Jib and use a dockerfile to contain the Front-End part (Angular 9).', '* use Helm to make dynamic Kubernetes resources declarations (Ingress, Deployments, Services, Secrets, TLS certificate) by injecting inside the concerned values from a separated files entitled values.yml. Each intended environment such as Dev, Int or Prod has its own values.', '* Implementation automated CI/CD pipelines for each microservice and the Front-End part (from GitLab --> Azure DevOps pipelines Build --> Azure DevOps pipelines Release --> AKS).', '* Ensure own cost management on Azure (Kubecost).', '* Create Pull Requests for major changes done on existing files in GitLab reste (git).', '', 'Technical environment:', '- Ubuntu 20.04 LTS (Focal Fossa), Terraform (v0.12), Azure Cli, Kubernetes (v1.19.11), K9s, Helm (v3), Docker, Jib, Azure Portal, Azure DevOps, Azure Artifacts, maven, SonarQube, JaCoCo, Intellij IDE, VS Code, git, GitLab, AKS, Slack, Jira.']",Project:,"- Talenteo is a Cloud Native HRIS solution which covers all the management processes of an HRM: recruitments, trainings, missions, editing and sending summaries, co-optations, monitoring and evaluation of consultants. The platform is developed with Angular on the Front-End and Spring Boot on the Back End.",,Goal:,"- Automate CI/CD chains to deploy a Cloud Native HRIS Called solution ""Talenteo"" on a Kubernetes Cluster managed by Microsoft Azure (AKS) using Azure DevOps.",,Tasks:,"* Configure a pipeline to supply an Azure infrastructure using Terraform (Cluster AKS, Blob Storage, Azure Container Registry, Vnet and Subnets).","* Setting up three namesspaces on AKS (Dev, Int, Prod).",* Deploy PostgreSQL in Statefulset on AKS using Helm and configure database schemas and users.
71,IT Support Specialist,unknownunknownunknownunknownunknownunknown,['unknown'],unknown,,,,,,,,,
72,Cloud & DevOps Engineer,kubernetsProject managementGitMicrosoft AzureDockerAKS,['unknown'],unknown,,,,,,,,,
73,System and Backup Ingineer,Talking in publicSocial networksCustomer serviceTeamworkNetwork AdministrationCloud Computing,['unknown'],unknown,,,,,,,,,
74,Cloud Support Engineer,System AdministrationAmazon Web Services (AWS)KubernetesSoftware DevelopmentShell ScriptingC++,['unknown'],unknown,,,,,,,,,
75,DevOps Engineer,Elastic Stack (ELK)DynatracePrometheus.ioGrafanaLinuxJenkins,"['Build secure and automated high-performance computing infrastructure solutions using Ansible, Terraform and K8s.', 'Establishment a CI/CD roadmap and implementing it on the project with Jenkins using Distributed buildings. ', 'Monitor, analytics, and report performance statistics on kubernets cluster using Dynatrace and Prometheus.', 'Experience with Software quality tools (Sonarqube).']","Build secure and automated high-performance computing infrastructure solutions using Ansible, Terraform and K8s.",Establishment a CI/CD roadmap and implementing it on the project with Jenkins using Distributed buildings. ,"Monitor, analytics, and report performance statistics on kubernets cluster using Dynatrace and Prometheus.",Experience with Software quality tools (Sonarqube).,,,,,,
76,Cloud Engineer,Amazon Web Services (AWS)Google Cloud Platform (GCP)System AdministrationCloud ComputingInfrastructureLinux,['unknown'],unknown,,,,,,,,,
77,SysOps Cloud Engineer,Amazon Web Services (AWS)AnsibleTerraformOpenStackCloud ComputingPython (Programming Language),['unknown'],unknown,,,,,,,,,
78,Devops Engineer,React.jsBitbucketNode.jsSonarqubeJenkinsDocker products,['Skills: Docker Products · Amazon Web Services · Git · Pipelines'],Skills: Docker Products · Amazon Web Services · Git · Pipelines,,,,,,,,,
79,Cyber Security Engineer,Information SecurityNetwork EngineeringFortinetNetworkingCybersecurityLinux,['Skills: Information Security · Network Engineering · Fortinet · Networking'],Skills: Information Security · Network Engineering · Fortinet · Networking,,,,,,,,,
80,DevOps Engineer,LinuxC++UMLCJavaMySQL,"['• Ensure the steps of the CI/CD pipeline: Github, Jenkins, Docker, Sonarqube Kubernets, GCP', '• System support: Linux, Tomcat/Jboss, Apache, Nginx, Mysql, Postgresql, MongoDB', '• Train, advise and assist users', '• Ensure the preventive and curative maintenance of infra-clients on a regular basis', '• Install, upgrade and upgrade hardware and software components of computer systems', '• Administer and maintain the network and its services,', '• Ensuring the reliability and security of the entire system, monitoring of the local network,']","• Ensure the steps of the CI/CD pipeline: Github, Jenkins, Docker, Sonarqube Kubernets, GCP","• System support: Linux, Tomcat/Jboss, Apache, Nginx, Mysql, Postgresql, MongoDB","• Train, advise and assist users",• Ensure the preventive and curative maintenance of infra-clients on a regular basis,"• Install, upgrade and upgrade hardware and software components of computer systems","• Administer and maintain the network and its services,","• Ensuring the reliability and security of the entire system, monitoring of the local network,",,,
81,Software Engineer,"AirbyteExtract, Transform, Load (ETL)MySQLFlaskGoDocker","['-Deploy, improvise, monitor and maintain data services for a SaaS application', '-Configure, create and maintain data pipelines for multiple sources (Shopify, Klaviyo, Facebook, Google ads...)', '- Google Cloud Management Platform Data services (Bigquery, PubSub)', '-Develop and improve APIs', '-Code review']","-Deploy, improvise, monitor and maintain data services for a SaaS application","-Configure, create and maintain data pipelines for multiple sources (Shopify, Klaviyo, Facebook, Google ads...)","- Google Cloud Management Platform Data services (Bigquery, PubSub)",-Develop and improve APIs,-Code review,,,,,
82,Application Developer,AngularC#JavaScriptdockerASP.NETcss,['Skills: Angular · C#'],Skills: Angular · C#,,,,,,,,,
83,Cloud Engineer,Business Intelligence (BI)RESTful WebServicesMavenJSONHibernateJenkins,"['• Deployment of web application (angular,springboot) with google kubernets engine using google datastore as database ', '• Facilitating migration of kubernets from docker to k8s using services,pods and deployments', '• Performed Branching, Tagging, Release Activities on Version Control Tools: BitBucket, git']","• Deployment of web application (angular,springboot) with google kubernets engine using google datastore as database ","• Facilitating migration of kubernets from docker to k8s using services,pods and deployments","• Performed Branching, Tagging, Release Activities on Version Control Tools: BitBucket, git",,,,,,,
84,Senior Cloud/DevOps Engineer,GitAgileJenkinsJiraDockerAWS,['unknown'],unknown,,,,,,,,,
85,Student Intern,Cloud ComputingEngineeringunknownunknownunknownunknown,['Skills: Engineering'],Skills: Engineering,,,,,,,,,
86,DevOps Engineer,Network AdministrationNetwork SecurityjavaTelecommunicationsLinuxNetworking,['unknown'],unknown,,,,,,,,,
87,End of Studies Internship,Continuous DeliveryGitBitbucketAnsible TowerHybrid Cloud management Micro FocusEngineering,['Skills: Continuous Delivery · Git · Bitbucket · Ansible Tower · Hybrid Cloud management Micro Focus'],Skills: Continuous Delivery · Git · Bitbucket · Ansible Tower · Hybrid Cloud management Micro Focus,,,,,,,,,
88,Cloud and Applications Support Engineer,Windows ServerLinux System AdministrationInformatica PowerCenterRed Hat LinuxGit BashGitLab,['unknown'],unknown,,,,,,,,,
89,Test Automation Engineer,PHPJavaJavaScriptpytestX-rayPytest,['unknown'],unknown,,,,,,,,,
90,PFE Stagaire,Linux System AdministrationGitLabPipelinesDevSecOpsSonarqubeContinuous Integration and Continuous Delivery (CI/CD),['unknown'],unknown,,,,,,,,,
91,End of study project internship,Django REST FrameworkPostman APIWeb Services APIJSON Web Token (JWT)Azure KustoCloud Computing,"['Subject: Implementation of a decision-making solution for cost optimization on the cloud azure', '', 'Work Done:', '* Study of the existing, collection of needs of the workforce of the company.', '* Study of Azure Cloud APP concepts.', '* Identify the main functional and non-functional needs of my project', '* Identification of cost optimization axes on Microsoft Azure.', '* Configuration of the Azure active directory.', '* Collection of azure resources related to optimization axes.', '* Search for (mathematical) optimization formulas.', '* Visualization of inventories of resources collected on the web interface.', '* Application of optimization formulas on the web interface.', '*Added recommendations.', '* Generalization of several subscriptions.', '* Testing and improvement of the proposed solution.', '* PROD implementation of the solution at VERMEG.', '', 'TECHNOLOGY: Microsoft Azure, Azure APIs, HTML, CSS, Bootstrap, Django Framework,Python, Bash,PowerShell, Json Template, Virtual Machine.']",Subject: Implementation of a decision-making solution for cost optimization on the cloud azure,,Work Done:,"* Study of the existing, collection of needs of the workforce of the company.",* Study of Azure Cloud APP concepts.,* Identify the main functional and non-functional needs of my project,* Identification of cost optimization axes on Microsoft Azure.,* Configuration of the Azure active directory.,* Collection of azure resources related to optimization axes.,* Search for (mathematical) optimization formulas.
