,Unnamed: 0,jobTitle,skills,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,word_tokenized1,word_tokenized2,word_tokenized3,word_tokenized4,word_tokenized5,word_tokenized6,word_tokenized7,word_tokenized8,word_tokenized9,word_tokenized10,clean_words1,clean_words2,clean_words3,clean_words4,clean_words5,clean_words6,clean_words7,clean_words8,clean_words9,clean_words10,clean_stemmed1,clean_stemmed2,clean_stemmed3,clean_stemmed4,clean_stemmed5,clean_stemmed6,clean_stemmed7,clean_stemmed8,clean_stemmed9,clean_stemmed10,clean_lemmed1,clean_lemmed2,clean_lemmed3,clean_lemmed4,clean_lemmed5,clean_lemmed6,clean_lemmed7,clean_lemmed8,clean_lemmed9,clean_lemmed10,cluster
13,13,web3 developer,PHPHTML5JavaScriptHTMLNode.jsLaravel,"[""I'm currently a we3 developer at Lightency.""]",I'm currently a we3 developer at Lightency.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['I', 'currently', 'we3', 'developer', 'Lightency']",[],[],[],[],[],[],[],[],[],"['I', 'currently', 'we3', 'developer', 'Lightency']",[],[],[],[],[],[],[],[],[],"['i', 'current', 'we3', 'develop', 'lightenc']",[],[],[],[],[],[],[],[],[],"['I', 'currently', 'we3', 'developer', 'Lightency']",[],[],[],[],[],[],[],[],[],0
14,14,Trainee ,PostgreSQLTalendMicrosoft Power BIunknownunknownunknown,['PFE course'],PFE course,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['PFE', 'course']",[],[],[],[],[],[],[],[],[],"['PFE', 'course']",[],[],[],[],[],[],[],[],[],"['pfe', 'cours']",[],[],[],[],[],[],[],[],[],"['PFE', 'course']",[],[],[],[],[],[],[],[],[],0
15,15,Business Intelligence Engineer,Data AnalyticsGamingpythonMicrosoft Power BIMicrosoft ExcelGoogle Analytics,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2
16,16,Decision-making intelligence developer,AnalyticalMicrosoft Power BISQLDecision-making informaticsSQL Server Integration Services (SSIS)Microsoft BI Suite,['Developer in decision-making computing '],Developer in decision-making computing ,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Developer', 'decision', 'making', 'computing']",[],[],[],[],[],[],[],[],[],"['Developer', 'decision', 'making', 'computing']",[],[],[],[],[],[],[],[],[],"['develop', 'decis', 'make', 'comput']",[],[],[],[],[],[],[],[],[],"['Developer', 'decision', 'making', 'computing']",[],[],[],[],[],[],[],[],[],0
18,18,Business Intelligence Internal,DevOpsAngularSpring BootMicrosoft Power BIBusiness Intelligence (BI)Big Data,['Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS)'],Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Skills', 'Business', 'Intelligence', 'BI', 'Web', 'Development', 'SQL', 'Server', 'Integration', 'Services', 'SSIS']",[],[],[],[],[],[],[],[],[],"['Skills', 'Business', 'Intelligence', 'BI', 'Web', 'Development', 'SQL', 'Server', 'Integration', 'Services', 'SSIS']",[],[],[],[],[],[],[],[],[],"['skill', 'busi', 'intellig', 'bi', 'web', 'develop', 'sql', 'server', 'integr', 'servic', 'ssi']",[],[],[],[],[],[],[],[],[],"['Skills', 'Business', 'Intelligence', 'BI', 'Web', 'Development', 'SQL', 'Server', 'Integration', 'Services', 'SSIS']",[],[],[],[],[],[],[],[],[],2
19,19,Cloud Engineer,Cloud ComputingSoftware DevelopmentAstrophysicsQtSymfony FrameworkAmazon Web Services (AWS),['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],3
20,20,Cloud engineer and devops,JavaCloud ComputingGitLinux System AdministrationMySQLAnsible,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],3
21,21,Cloud & DevOps Engineer,DevOpsCloud ComputingAmazon Web Services (AWS)IT Infrastructure ManagementSoftware DevelopmentInfrastructure as code (IaC),['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],3
22,22,Internship - PFE,Oracle DatabaseC++LinuxNetwork administrationWeb developmentNetwork security,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0
23,23,System Administrator,EngineersLinuxCloud ComputingDevOpsAmazon Web ServicesJenkins,"['Implementation of a supervision solution for the GCT IT system with e-mail and SMS notifications.', '-Technologies: Nagios, Postfix, SMS Server Tools.']",Implementation of a supervision solution for the GCT IT system with e-mail and SMS notifications.,"-Technologies: Nagios, Postfix, SMS Server Tools.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Implementation', 'supervision', 'solution', 'GCT', 'IT', 'system', 'e', 'mail', 'SMS', 'notifications']","['Technologies', 'Nagios', 'Postfix', 'SMS', 'Server', 'Tools']",[],[],[],[],[],[],[],[],"['Implementation', 'supervision', 'solution', 'GCT', 'IT', 'system', 'e', 'mail', 'SMS', 'notifications']","['Technologies', 'Nagios', 'Postfix', 'SMS', 'Server', 'Tools']",[],[],[],[],[],[],[],[],"['implement', 'supervis', 'solut', 'gct', 'it', 'system', 'e', 'mail', 'sm', 'notif']","['technolog', 'nagio', 'postfix', 'sm', 'server', 'tool']",[],[],[],[],[],[],[],[],"['Implementation', 'supervision', 'solution', 'GCT', 'IT', 'system', 'e', 'mail', 'SMS', 'notification']","['Technologies', 'Nagios', 'Postfix', 'SMS', 'Server', 'Tools']",[],[],[],[],[],[],[],[],0
24,24,Senior Devops Engineer,Continuous Integration and Continuous Delivery (CI/CD)IT Infrastructure OperationsSecurityServer AdministrationGitOpsDocker,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],3
26,26,DevOps & Cloud Engineer,GoTerraformAnsibleScrumDockerAngular,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],3
27,27,Cloud Support Engineer,VirtualizationCloud ComputingGitMicrosoft AzureNetwork AdministrationDevOps,"['24/7 development operations on IBMI AS400 system', 'Being part of the Cloud Ops team in the company that works on: Managing and monitoring clients resources in the cloud, Managing and troubleshooting Windows servers, VMs, RDPs.', 'Working on server health checks', 'Continue monitoring using HALCYON monitoring tool', 'Analyzing and taking care of ERP applications-related alerts', 'Generating and Sending the Performance Reports on time to customers.']",24/7 development operations on IBMI AS400 system,"Being part of the Cloud Ops team in the company that works on: Managing and monitoring clients resources in the cloud, Managing and troubleshooting Windows servers, VMs, RDPs.",Working on server health checks,Continue monitoring using HALCYON monitoring tool,Analyzing and taking care of ERP applications-related alerts,Generating and Sending the Performance Reports on time to customers.,unknown,unknown,unknown,unknown,"['24', '7', 'development', 'operations', 'IBMI', 'AS400', 'system']","['Being', 'part', 'Cloud', 'Ops', 'team', 'company', 'works', 'Managing', 'monitoring', 'clients', 'resources', 'cloud', 'Managing', 'troubleshooting', 'Windows', 'servers', 'VMs', 'RDPs']","['Working', 'server', 'health', 'checks']","['Continue', 'monitoring', 'using', 'HALCYON', 'monitoring', 'tool']","['Analyzing', 'taking', 'care', 'ERP', 'applications', 'related', 'alerts']","['Generating', 'Sending', 'Performance', 'Reports', 'time', 'customers']",[],[],[],[],"['24', '7', 'development', 'operations', 'IBMI', 'AS400', 'system']","['Being', 'part', 'Cloud', 'Ops', 'team', 'company', 'works', 'Managing', 'monitoring', 'clients', 'resources', 'cloud', 'Managing', 'troubleshooting', 'Windows', 'servers', 'VMs', 'RDPs']","['Working', 'server', 'health', 'checks']","['Continue', 'monitoring', 'using', 'HALCYON', 'monitoring', 'tool']","['Analyzing', 'taking', 'care', 'ERP', 'applications', 'related', 'alerts']","['Generating', 'Sending', 'Performance', 'Reports', 'time', 'customers']",[],[],[],[],"['24', '7', 'develop', 'oper', 'ibmi', 'as400', 'system']","['be', 'part', 'cloud', 'op', 'team', 'compani', 'work', 'manag', 'monitor', 'client', 'resourc', 'cloud', 'manag', 'troubleshoot', 'window', 'server', 'vm', 'rdp']","['work', 'server', 'health', 'check']","['continu', 'monitor', 'use', 'halcyon', 'monitor', 'tool']","['analyz', 'take', 'care', 'erp', 'applic', 'relat', 'alert']","['gener', 'send', 'perform', 'report', 'time', 'custom']",[],[],[],[],"['24', '7', 'development', 'operation', 'IBMI', 'AS400', 'system']","['Being', 'part', 'Cloud', 'Ops', 'team', 'company', 'work', 'Managing', 'monitoring', 'client', 'resource', 'cloud', 'Managing', 'troubleshooting', 'Windows', 'server', 'VMs', 'RDPs']","['Working', 'server', 'health', 'check']","['Continue', 'monitoring', 'using', 'HALCYON', 'monitoring', 'tool']","['Analyzing', 'taking', 'care', 'ERP', 'application', 'related', 'alert']","['Generating', 'Sending', 'Performance', 'Reports', 'time', 'customer']",[],[],[],[],3
28,28,DevOps Engineer,Tekton CI/CDGitlabContinuous Integration and Continuous Delivery (CI/CD)Apache KafkaOpenShiftQuarkus,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],3
29,29,Azure Engineer,Cloud ComputingCloud ApplicationsEnterprise MobilityNetworkingMicrosoft AzureSystem administration,['Skills: Microsoft Azure'],Skills: Microsoft Azure,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Skills', 'Microsoft', 'Azure']",[],[],[],[],[],[],[],[],[],"['Skills', 'Microsoft', 'Azure']",[],[],[],[],[],[],[],[],[],"['skill', 'microsoft', 'azur']",[],[],[],[],[],[],[],[],[],"['Skills', 'Microsoft', 'Azure']",[],[],[],[],[],[],[],[],[],0
31,31,Cloud Engineer ,C++JavaSQLLinuxPHPJavaScript,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],3
32,32,Cloud & DevOps Engineer ,Cloud ComputingCloud SecurityOpenStackBig DataVirtualizationStorage Virtualization,"['Working with Microsoft Azure and its different Scopes ( AAD, VMs, SQL, SQLMI, Storage Accounts, Automation Accounts, Azure Functions,..... ).', 'Migrating on-premises Applications to the cloud (hybrid and full public solutions ).', 'Working With Azure Kubernetes Service both Managed and UnManaged.', 'Writing DockerFiles and Generating Docker Images.', 'Developing CICD pipelines using Azure DevOps ( Azure ARM, Bash, Powershell, Ansible....... ).', 'Support of the Infrastructure and running Applications.']","Working with Microsoft Azure and its different Scopes ( AAD, VMs, SQL, SQLMI, Storage Accounts, Automation Accounts, Azure Functions,..... ).",Migrating on-premises Applications to the cloud (hybrid and full public solutions ).,Working With Azure Kubernetes Service both Managed and UnManaged.,Writing DockerFiles and Generating Docker Images.,"Developing CICD pipelines using Azure DevOps ( Azure ARM, Bash, Powershell, Ansible....... ).",Support of the Infrastructure and running Applications.,unknown,unknown,unknown,unknown,"['Working', 'Microsoft', 'Azure', 'different', 'Scopes', 'AAD', 'VMs', 'SQL', 'SQLMI', 'Storage', 'Accounts', 'Automation', 'Accounts', 'Azure', 'Functions']","['Migrating', 'premises', 'Applications', 'cloud', 'hybrid', 'full', 'public', 'solutions']","['Working', 'With', 'Azure', 'Kubernetes', 'Service', 'Managed', 'UnManaged']","['Writing', 'DockerFiles', 'Generating', 'Docker', 'Images']","['Developing', 'CICD', 'pipelines', 'using', 'Azure', 'DevOps', 'Azure', 'ARM', 'Bash', 'Powershell', 'Ansible']","['Support', 'Infrastructure', 'running', 'Applications']",[],[],[],[],"['Working', 'Microsoft', 'Azure', 'different', 'Scopes', 'AAD', 'VMs', 'SQL', 'SQLMI', 'Storage', 'Accounts', 'Automation', 'Accounts', 'Azure', 'Functions']","['Migrating', 'premises', 'Applications', 'cloud', 'hybrid', 'full', 'public', 'solutions']","['Working', 'With', 'Azure', 'Kubernetes', 'Service', 'Managed', 'UnManaged']","['Writing', 'DockerFiles', 'Generating', 'Docker', 'Images']","['Developing', 'CICD', 'pipelines', 'using', 'Azure', 'DevOps', 'Azure', 'ARM', 'Bash', 'Powershell', 'Ansible']","['Support', 'Infrastructure', 'running', 'Applications']",[],[],[],[],"['work', 'microsoft', 'azur', 'differ', 'scope', 'aad', 'vm', 'sql', 'sqlmi', 'storag', 'account', 'autom', 'account', 'azur', 'function']","['migrat', 'premis', 'applic', 'cloud', 'hybrid', 'full', 'public', 'solut']","['work', 'with', 'azur', 'kubernet', 'servic', 'manag', 'unmanag']","['write', 'dockerfil', 'gener', 'docker', 'imag']","['develop', 'cicd', 'pipelin', 'use', 'azur', 'devop', 'azur', 'arm', 'bash', 'powershel', 'ansibl']","['support', 'infrastructur', 'run', 'applic']",[],[],[],[],"['Working', 'Microsoft', 'Azure', 'different', 'Scopes', 'AAD', 'VMs', 'SQL', 'SQLMI', 'Storage', 'Accounts', 'Automation', 'Accounts', 'Azure', 'Functions']","['Migrating', 'premise', 'Applications', 'cloud', 'hybrid', 'full', 'public', 'solution']","['Working', 'With', 'Azure', 'Kubernetes', 'Service', 'Managed', 'UnManaged']","['Writing', 'DockerFiles', 'Generating', 'Docker', 'Images']","['Developing', 'CICD', 'pipeline', 'using', 'Azure', 'DevOps', 'Azure', 'ARM', 'Bash', 'Powershell', 'Ansible']","['Support', 'Infrastructure', 'running', 'Applications']",[],[],[],[],3
33,33,Senior Azure Cloud Engineer,CentOSApacheMySQLVoIPSystem AdministrationNetwork security,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],3
34,34,Internship Engineer DevOps,Cloud ComputingDevOpsAWSProject managementEngineeringAnalytical skills,['Continuous integration and deployment (CI/CD) of an HRM application under odoo.'],Continuous integration and deployment (CI/CD) of an HRM application under odoo.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Continuous', 'integration', 'deployment', 'CI', 'CD', 'HRM', 'application', 'odoo']",[],[],[],[],[],[],[],[],[],"['Continuous', 'integration', 'deployment', 'CI', 'CD', 'HRM', 'application', 'odoo']",[],[],[],[],[],[],[],[],[],"['continu', 'integr', 'deploy', 'ci', 'cd', 'hrm', 'applic', 'odoo']",[],[],[],[],[],[],[],[],[],"['Continuous', 'integration', 'deployment', 'CI', 'CD', 'HRM', 'application', 'odoo']",[],[],[],[],[],[],[],[],[],3
35,35,DevSecOps Engineer,NexusJenkinsAzure SQLAzure Active DirectoryPowershell scriptingCloud security,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0
