,jobTitle,skills,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10
32,Cloud & DevOps Engineer ,"['Cloud Computing', 'Cloud Security', 'OpenStack', 'Big Data', 'Virtualization', 'Storage Virtualization']","['Working with Microsoft Azure and its different Scopes ( AAD, VMs, SQL, SQLMI, Storage Accounts, Automation Accounts, Azure Functions,..... ).', 'Migrating on-premises Applications to the cloud (hybrid and full public solutions ).', 'Working With Azure Kubernetes Service both Managed and UnManaged.', 'Writing DockerFiles and Generating Docker Images.', 'Developing CICD pipelines using Azure DevOps ( Azure ARM, Bash, Powershell, Ansible....... ).', 'Support of the Infrastructure and running Applications.']","Working with Microsoft Azure and its different Scopes ( AAD, VMs, SQL, SQLMI, Storage Accounts, Automation Accounts, Azure Functions,..... ).",Migrating on-premises Applications to the cloud (hybrid and full public solutions ).,Working With Azure Kubernetes Service both Managed and UnManaged.,Writing DockerFiles and Generating Docker Images.,"Developing CICD pipelines using Azure DevOps ( Azure ARM, Bash, Powershell, Ansible....... ).",Support of the Infrastructure and running Applications.,,,,
33,Senior Azure Cloud Engineer,"['CentOS', 'Apache', 'MySQL', 'VoIP', 'System Administration', 'Network security']",['unknown'],unknown,,,,,,,,,
34,Internship Engineer DevOps,"['Cloud Computing', 'DevOps', 'AWS', 'Project management', 'Engineering', 'Analytical skills']",['Continuous integration and deployment (CI/CD) of an HRM application under odoo.'],Continuous integration and deployment (CI/CD) of an HRM application under odoo.,,,,,,,,,
35,DevSecOps Engineer,"['Nexus', 'Jenkins', 'Azure SQL', 'Azure Active Directory', 'Powershell scripting', 'Cloud security']",['unknown'],unknown,,,,,,,,,
36,DevOps & Kubernetes Administrator ,"['Cloud Computing', 'DevOps', 'Microsoft Azure', 'OpenStack', 'Docker', 'Kubernetes']","['- Setting up an automated infrastructure on Google Cloud using Terraform, GitHub Actions, and Rancher Kubernetes Engine;', '- Setting up with Helm Chart an observability stack using Prometheus, Grafana, and Alert Manager to send notifications on Slack;', '- Separating metrics and logs per namespaces using Prometheus federator;', '- Deploying a web app, managing the config files of the resources deployed in the cluster using Lens;', '- Automatic the deployment of a Spring Boot/Angular/MySQL app on AKS using GitHub Pipeline actions;', '- Kubernetes cluster administration.']","- Setting up an automated infrastructure on Google Cloud using Terraform, GitHub Actions, and Rancher Kubernetes Engine;","- Setting up with Helm Chart an observability stack using Prometheus, Grafana, and Alert Manager to send notifications on Slack;",- Separating metrics and logs per namespaces using Prometheus federator;,"- Deploying a web app, managing the config files of the resources deployed in the cluster using Lens;",- Automatic the deployment of a Spring Boot/Angular/MySQL app on AKS using GitHub Pipeline actions;,- Kubernetes cluster administration.,,,,
37,DevOps Consultant,"['Cloud Computing', 'Scrum', 'Linux', 'C#', 'Jenkins', 'docker']",['unknown'],unknown,,,,,,,,,
38,Cloud Engineer,"['Big data', 'Business Intelligence', 'Amazon Web Services (AWS)', 'Data Mining', 'Project management', 'Finance']",['unknown'],unknown,,,,,,,,,
39,Technical Consultant,"['DevOps', 'Microsoft Azure', 'Asp.Net Core', 'Angular', 'SQL', 'unknown']",['unknown'],unknown,,,,,,,,,
40,VMware Engineer Hybrid Cloud,"['MySQL', 'UML', 'PHP', 'Python', 'PhpMyAdmin', 'HTML5']",['unknown'],unknown,,,,,,,,,
41,Internship ,"['React.js', 'Node.js', 'MongoDB', 'Express.js', 'systemd', 'Microsoft Azure']",['Skills: Microsoft Azure · Jenkins · docker'],Skills: Microsoft Azure · Jenkins · docker,,,,,,,,,
42,Information Technology Instructor,"['Service-Oriented Architecture (SOA)', 'System Administration', 'Microsoft Azure', 'Automation', 'Ansible', 'Initiation Cloud']",['Skills: Service-Oriented Architecture (SOA) · System Administration · Microsoft Azure · Automation · Cloud Computing'],Skills: Service-Oriented Architecture (SOA) · System Administration · Microsoft Azure · Automation · Cloud Computing,,,,,,,,,
43,Summer Internship,"['Python (Programming Language)', 'AngularJS', 'Angular Material', 'Flask', 'Workbench', 'docker']","['Design, development and implementation of a cyber threat analysis tool within CERT Axians.', 'This tool allows you to store, organize and visualize information about cyber threats.']","Design, development and implementation of a cyber threat analysis tool within CERT Axians.","This tool allows you to store, organize and visualize information about cyber threats.",,,,,,,,
44,DevOps and Cloud Computing intern,"['odoo12', 'Python (programming language)', 'Scrum', 'Jacoco', 'Mockito', 'Continuous Integration and Continuous Delivery (CI/CD)']","['Setting up a Kubernet cluster production ready using Kubespray', 'Creation of nginx pods', 'Deployment of an Angular application to the cluster using DockerFile+DockerHub+ Kubernetes Dashboard', 'Cluster +Application monitoring via prophesying and Grafana']",Setting up a Kubernet cluster production ready using Kubespray,Creation of nginx pods,Deployment of an Angular application to the cluster using DockerFile+DockerHub+ Kubernetes Dashboard,Cluster +Application monitoring via prophesying and Grafana,,,,,,
45,Cloud platform engineer,"['Testing Automation', 'Robot Framework', 'Jenkins', 'Test Cases', 'Test Planning', 'Internet Protocol Suite (TCP/IP)']",['unknown'],unknown,,,,,,,,,
47,DevOps engineer,"['Network administration', 'Team spirit', 'Linux System Administration', 'Critical Spirit', 'Sense of organization', 'unknown']",['unknown'],unknown,,,,,,,,,
48,Microsoft Certified Trainer,"['Java', 'Java Enterprise Edition', 'Project Management', 'Product Management', 'Pricing Strategy', 'Search Engine Optimization (SEO)']",['unknown'],unknown,,,,,,,,,
49,Cloud and Automation engineer ,"['Unified Modeling Language (UML)', 'Unix Administration', 'Java Web Services', 'Network Security', 'Linux', 'Java']",['unknown'],unknown,,,,,,,,,
50,Junior Software Engineer,"['DevOps', 'Cloud computing', 'Linux System Administration', 'Virtualization', 'Network Security', 'DNS']",['Developing an e-learning platform using spring boot and jhipster. the final project was deployed on docker.'],Developing an e-learning platform using spring boot and jhipster. the final project was deployed on docker.,,,,,,,,,
51,Cloud Data Engineer GCP,"['Go', 'Kubernetes', 'Docker', 'Java', 'Angular', 'Linux']",['unknown'],unknown,,,,,,,,,
53,Cloud & DevOps Engineer ,"['Microsoft Office', 'Management', 'Microsoft Excel', 'Customer service', 'Leadership', 'Microsoft Word']","['Load test implementation for new features developed by the dev team before deployment on the production environment', 'Create Jenkins pipeline to automata test execution', 'Analyze load test results to verify if there is a bottleneck that needs improvement in the infrastructure on AWS', 'Create Test Environments on AWS Using Terraform & Packer as IaC (Infrastructure as Code) tool and Ansible as CM (Configuration Management) tool', 'Monitor production environment servers on AWS using CloudWatch service', 'Automatic several manual tasks using Jenkins pipelines', 'Automation and management test and production environment services on AWS']",Load test implementation for new features developed by the dev team before deployment on the production environment,Create Jenkins pipeline to automata test execution,Analyze load test results to verify if there is a bottleneck that needs improvement in the infrastructure on AWS,Create Test Environments on AWS Using Terraform & Packer as IaC (Infrastructure as Code) tool and Ansible as CM (Configuration Management) tool,Monitor production environment servers on AWS using CloudWatch service,Automatic several manual tasks using Jenkins pipelines,Automation and management test and production environment services on AWS,,,
54,Cloud DevOps Engineer,"['Docker', 'Jenkins', 'Ansible', 'Cloud Computing', 'Java Enterprise Edition', '.NET framework']",['unknown'],unknown,,,,,,,,,
55,DevOps Engineer,"['Node.js', 'React.js', 'MongoDB', 'Infrastructure', 'Vagrant', 'Cassandra']","['In this internship i worked on the infrastructure ‘s automation using ansible and create a website for ticket reservation for cinemas in Tunisia using node.js, react.js and Mongolia']","In this internship i worked on the infrastructure ‘s automation using ansible and create a website for ticket reservation for cinemas in Tunisia using node.js, react.js and Mongolia",,,,,,,,,
56,SysAdmin DevOps Engineer,"['Amazon Web Services (AWS)', 'Unix', 'MySQL', 'Public Speaking', 'C#', 'Article']",['unknown'],unknown,,,,,,,,,
57,DevOps & Cloud Engineer,"['Maven', 'Microsoft Azure', 'Google Cloud Platform (GCP)', 'Docker products', 'Linux', 'JavaFX']",['unknown'],unknown,,,,,,,,,
58,Cloud & Support Engineer,"['Amazon Web Services', 'Linux', 'Git', 'REST API', 'Microsoft Azure', 'Windows Server']",['unknown'],unknown,,,,,,,,,
59,DevOps Engineer and Cloud Architect,"['MySQL', 'Java', 'Linux', 'Symfony', 'C++', 'HTML5']",['unknown'],unknown,,,,,,,,,
60,Cloud Operations Engineer,"['Ansible', 'OpenStack', 'Unix', 'Virtualization', 'Cloud Computing', 'Automation']",['unknown'],unknown,,,,,,,,,
61,DevOps engineer,"['docker', 'Kubernetes', 'Ansible', 'Terraform', 'Java', 'JavaScript']",['unknown'],unknown,,,,,,,,,
62,DevOps Engineer,"['Infrastructure as code (IaC)', 'Amazon Web Services (AWS)', 'CI/CD', 'Gitlab', 'Google Cloud Platform (GCP)', 'Google Kubernetes Engine (GKE)']","['Modernisation of Kubernetes resources - Best Practices', 'Migration to a Highly Available and Secure GKE Cluster', 'Monitoring stack : Prometheus Operator, Prometheus, Alertmanager, Grafana, Thanos...', 'Security stack: Certmanager, Letsencrypt...', 'Networking stack: Pomerium, Kubernetes Gateway API...']",Modernisation of Kubernetes resources - Best Practices,Migration to a Highly Available and Secure GKE Cluster,"Monitoring stack : Prometheus Operator, Prometheus, Alertmanager, Grafana, Thanos...","Security stack: Certmanager, Letsencrypt...","Networking stack: Pomerium, Kubernetes Gateway API...",,,,,
63,Cybersecurity and cloud DevSecOps engineer ,"['Cloud Computing', 'Cybersecurity', 'DevOps', 'Elastic Stack (ELK)', 'Kibana', 'Windows Server']","['‐ Administration of SFM IT tools', '‐ Administrator Systems and Networks ', '- Implementation of security architectures (security software installation and manipulation)', '- Cloud manager', '- Penetration tests', '- Vulnerability analysis of web applications', '- Continuous Integration (DevOps)', ""‐ Internal audit of SFM's IS"", '‐ Implementation of the safety of the SFM IS', '‐ Participation in the development of the strategic plan for the digital development of SFM']",‐ Administration of SFM IT tools,‐ Administrator Systems and Networks ,- Implementation of security architectures (security software installation and manipulation),- Cloud manager,- Penetration tests,- Vulnerability analysis of web applications,- Continuous Integration (DevOps),‐ Internal audit of SFM's IS,‐ Implementation of the safety of the SFM IS,‐ Participation in the development of the strategic plan for the digital development of SFM
64,Cloud engineer,"['google G suite', 'Symfony Framework', 'GitHub', 'HTML', 'Bootstrap', 'JavaScript']","['*Contributes to the updating of a private cloud provisioning, management and billing platform.', '*Operation of the various cloud infrastructures as well as maintenance and monitoring of the server machines deployed in production.']","*Contributes to the updating of a private cloud provisioning, management and billing platform.",*Operation of the various cloud infrastructures as well as maintenance and monitoring of the server machines deployed in production.,,,,,,,,
65, Aviation Database administrator,"['Amazon Web Services (AWS)', 'Analytical Skills', 'DevOps', 'Oracle Database', 'ICAO', 'Aviation']","['- Installing and upgrading the Oracle Database server and application tools', '', '- Allocating system storage and planning future storage requirements for the database system', '', '- Creating primary database storage structures (tablespaces) after application developers have designed an application', '', '- Creating primary objects (tables, views, indexes) once application developers have designed an application', '', '- Modifying the database structure, as necessary, from information given by application developers', '- using Ground Damage Database (GDDB) to collect information that helps the industry to understand trends and performance and identify risks by their frequency and seriousness.']",- Installing and upgrading the Oracle Database server and application tools,,- Allocating system storage and planning future storage requirements for the database system,,- Creating primary database storage structures (tablespaces) after application developers have designed an application,,"- Creating primary objects (tables, views, indexes) once application developers have designed an application",,"- Modifying the database structure, as necessary, from information given by application developers",- using Ground Damage Database (GDDB) to collect information that helps the industry to understand trends and performance and identify risks by their frequency and seriousness.
66,Data Analyst ,"['Analytical skills', ""Investigator's brochure (BI)"", 'Iaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa', 'Big data', 'Deep learning', 'Data mining']",['Automatic processing of CVs and profiles with Big Data (cv library)'],Automatic processing of CVs and profiles with Big Data (cv library),,,,,,,,,
68,Cloud Engineer,"['Amazon Web Services', 'JavaScript', 'Python', 'MySQL', 'php', 'Symfony']",['unknown'],unknown,,,,,,,,,
69,DevOps Engineer,"['Cloud Development', 'Kubernetes', 'DevOps', 'Ansible', 'Azure DevOps', 'Java']",['unknown'],unknown,,,,,,,,,
70,Cloud & DevOps Engineer,"['Microsoft Azure', 'Linux', 'Helm', 'Azure Kubernetes Service (AKS)', 'Azure DevOps', 'Git']","['Project:', '- Talenteo is a Cloud Native HRIS solution which covers all the management processes of an HRM: recruitments, trainings, missions, editing and sending summaries, co-optations, monitoring and evaluation of consultants. The platform is developed with Angular on the Front-End and Spring Boot on the Back End.', '', 'Goal:', '- Automate CI/CD chains to deploy a Cloud Native HRIS Called solution ""Talenteo"" on a Kubernetes Cluster managed by Microsoft Azure (AKS) using Azure DevOps.', '', 'Tasks:', '* Configure a pipeline to supply an Azure infrastructure using Terraform (Cluster AKS, Blob Storage, Azure Container Registry, Vnet and Subnets).', '* Setting up three namesspaces on AKS (Dev, Int, Prod).', '* Deploy PostgreSQL in Statefulset on AKS using Helm and configure database schemas and users.', '* Dockerize the Back-End micro-services (Spring Boot) with Jib and use a dockerfile to contain the Front-End part (Angular 9).', '* use Helm to make dynamic Kubernetes resources declarations (Ingress, Deployments, Services, Secrets, TLS certificate) by injecting inside the concerned values from a separated files entitled values.yml. Each intended environment such as Dev, Int or Prod has its own values.', '* Implementation automated CI/CD pipelines for each microservice and the Front-End part (from GitLab --> Azure DevOps pipelines Build --> Azure DevOps pipelines Release --> AKS).', '* Ensure own cost management on Azure (Kubecost).', '* Create Pull Requests for major changes done on existing files in GitLab reste (git).', '', 'Technical environment:', '- Ubuntu 20.04 LTS (Focal Fossa), Terraform (v0.12), Azure Cli, Kubernetes (v1.19.11), K9s, Helm (v3), Docker, Jib, Azure Portal, Azure DevOps, Azure Artifacts, maven, SonarQube, JaCoCo, Intellij IDE, VS Code, git, GitLab, AKS, Slack, Jira.']",Project:,"- Talenteo is a Cloud Native HRIS solution which covers all the management processes of an HRM: recruitments, trainings, missions, editing and sending summaries, co-optations, monitoring and evaluation of consultants. The platform is developed with Angular on the Front-End and Spring Boot on the Back End.",,Goal:,"- Automate CI/CD chains to deploy a Cloud Native HRIS Called solution ""Talenteo"" on a Kubernetes Cluster managed by Microsoft Azure (AKS) using Azure DevOps.",,Tasks:,"* Configure a pipeline to supply an Azure infrastructure using Terraform (Cluster AKS, Blob Storage, Azure Container Registry, Vnet and Subnets).","* Setting up three namesspaces on AKS (Dev, Int, Prod).",* Deploy PostgreSQL in Statefulset on AKS using Helm and configure database schemas and users.
71,IT Support Specialist,"['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']",['unknown'],unknown,,,,,,,,,
72,Cloud & DevOps Engineer,"['kubernets', 'Project management', 'Git', 'Microsoft Azure', 'Docker', 'AKS']",['unknown'],unknown,,,,,,,,,
73,System and Backup Ingineer,"['Talking in public', 'Social networks', 'Customer service', 'Teamwork', 'Network Administration', 'Cloud Computing']",['unknown'],unknown,,,,,,,,,
74,Cloud Support Engineer,"['System Administration', 'Amazon Web Services (AWS)', 'Kubernetes', 'Software Development', 'Shell Scripting', 'C++']",['unknown'],unknown,,,,,,,,,
75,DevOps Engineer,"['Elastic Stack (ELK)', 'Dynatrace', 'Prometheus.io', 'Grafana', 'Linux', 'Jenkins']","['Build secure and automated high-performance computing infrastructure solutions using Ansible, Terraform and K8s.', 'Establishment a CI/CD roadmap and implementing it on the project with Jenkins using Distributed buildings. ', 'Monitor, analytics, and report performance statistics on kubernets cluster using Dynatrace and Prometheus.', 'Experience with Software quality tools (Sonarqube).']","Build secure and automated high-performance computing infrastructure solutions using Ansible, Terraform and K8s.",Establishment a CI/CD roadmap and implementing it on the project with Jenkins using Distributed buildings. ,"Monitor, analytics, and report performance statistics on kubernets cluster using Dynatrace and Prometheus.",Experience with Software quality tools (Sonarqube).,,,,,,
76,Cloud Engineer,"['Amazon Web Services (AWS)', 'Google Cloud Platform (GCP)', 'System Administration', 'Cloud Computing', 'Infrastructure', 'Linux']",['unknown'],unknown,,,,,,,,,
77,SysOps Cloud Engineer,"['Amazon Web Services (AWS)', 'Ansible', 'Terraform', 'OpenStack', 'Cloud Computing', 'Python (Programming Language)']",['unknown'],unknown,,,,,,,,,
78,Devops Engineer,"['React.js', 'Bitbucket', 'Node.js', 'Sonarqube', 'Jenkins', 'Docker products']",['Skills: Docker Products · Amazon Web Services · Git · Pipelines'],Skills: Docker Products · Amazon Web Services · Git · Pipelines,,,,,,,,,
79,Cyber Security Engineer,"['Information Security', 'Network Engineering', 'Fortinet', 'Networking', 'Cybersecurity', 'Linux']",['Skills: Information Security · Network Engineering · Fortinet · Networking'],Skills: Information Security · Network Engineering · Fortinet · Networking,,,,,,,,,
80,DevOps Engineer,"['Linux', 'C++', 'UML', 'C', 'Java', 'MySQL']","['• Ensure the steps of the CI/CD pipeline: Github, Jenkins, Docker, Sonarqube Kubernets, GCP', '• System support: Linux, Tomcat/Jboss, Apache, Nginx, Mysql, Postgresql, MongoDB', '• Train, advise and assist users', '• Ensure the preventive and curative maintenance of infra-clients on a regular basis', '• Install, upgrade and upgrade hardware and software components of computer systems', '• Administer and maintain the network and its services,', '• Ensuring the reliability and security of the entire system, monitoring of the local network,']","• Ensure the steps of the CI/CD pipeline: Github, Jenkins, Docker, Sonarqube Kubernets, GCP","• System support: Linux, Tomcat/Jboss, Apache, Nginx, Mysql, Postgresql, MongoDB","• Train, advise and assist users",• Ensure the preventive and curative maintenance of infra-clients on a regular basis,"• Install, upgrade and upgrade hardware and software components of computer systems","• Administer and maintain the network and its services,","• Ensuring the reliability and security of the entire system, monitoring of the local network,",,,
81,Software Engineer,"['Airbyte', 'Extract, Transform, Load (ETL)', 'MySQL', 'Flask', 'Go', 'Docker']","['-Deploy, improvise, monitor and maintain data services for a SaaS application', '-Configure, create and maintain data pipelines for multiple sources (Shopify, Klaviyo, Facebook, Google ads...)', '- Google Cloud Management Platform Data services (Bigquery, PubSub)', '-Develop and improve APIs', '-Code review']","-Deploy, improvise, monitor and maintain data services for a SaaS application","-Configure, create and maintain data pipelines for multiple sources (Shopify, Klaviyo, Facebook, Google ads...)","- Google Cloud Management Platform Data services (Bigquery, PubSub)",-Develop and improve APIs,-Code review,,,,,
82,Application Developer,"['Angular', 'C#', 'JavaScript', 'docker', 'ASP.NET', 'css']",['Skills: Angular · C#'],Skills: Angular · C#,,,,,,,,,
83,Cloud Engineer,"['Business Intelligence (BI)', 'RESTful WebServices', 'Maven', 'JSON', 'Hibernate', 'Jenkins']","['• Deployment of web application (angular,springboot) with google kubernets engine using google datastore as database ', '• Facilitating migration of kubernets from docker to k8s using services,pods and deployments', '• Performed Branching, Tagging, Release Activities on Version Control Tools: BitBucket, git']","• Deployment of web application (angular,springboot) with google kubernets engine using google datastore as database ","• Facilitating migration of kubernets from docker to k8s using services,pods and deployments","• Performed Branching, Tagging, Release Activities on Version Control Tools: BitBucket, git",,,,,,,
84,Senior Cloud/DevOps Engineer,"['Git', 'Agile', 'Jenkins', 'Jira', 'Docker', 'AWS']",['unknown'],unknown,,,,,,,,,
85,Student Intern,"['Cloud Computing', 'Engineering', 'unknown', 'unknown', 'unknown', 'unknown']",['Skills: Engineering'],Skills: Engineering,,,,,,,,,
86,DevOps Engineer,"['Network Administration', 'Network Security', 'java', 'Telecommunications', 'Linux', 'Networking']",['unknown'],unknown,,,,,,,,,
87,End of Studies Internship,"['Continuous Delivery', 'Git', 'Bitbucket', 'Ansible Tower', 'Hybrid Cloud management Micro Focus', 'Engineering']",['Skills: Continuous Delivery · Git · Bitbucket · Ansible Tower · Hybrid Cloud management Micro Focus'],Skills: Continuous Delivery · Git · Bitbucket · Ansible Tower · Hybrid Cloud management Micro Focus,,,,,,,,,
88,Cloud and Applications Support Engineer,"['Windows Server', 'Linux System Administration', 'Informatica PowerCenter', 'Red Hat Linux', 'Git Bash', 'GitLab']",['unknown'],unknown,,,,,,,,,
89,Test Automation Engineer,"['PHP', 'Java', 'JavaScript', 'pytest', 'X-ray', 'Pytest']",['unknown'],unknown,,,,,,,,,
90,PFE Stagaire,"['Linux System Administration', 'GitLab', 'Pipelines', 'DevSecOps', 'Sonarqube', 'Continuous Integration and Continuous Delivery (CI/CD)']",['unknown'],unknown,,,,,,,,,
